COSMICClust	COSMICDisp	COSMICNonSig	ExACClust	ExACDisp	ExACNonSig	MultiClust	MultiSeg	MultiCorr
		1LT8A			2EHRA			
		4FMUA			2EEAA			
		4FWWA			2F5IB			
		4A27B			1Y3JA			
		2ZM1A			2EL8A			
		2FVLB			2EKHA			
		4FSVA			1YJRA			
		4ASXA			2EW9A			
		1FVRA			2EX4B			
		3V5QB			2EEFA			
		2V9SA			2ENJA			
		4FNWA			1X5SA			
		1LQ8G			2EYIA			
		2PVYD			2ENKA			
		4LQYA			2EPPA			
		1WAWA			1Y97A			
		2A2DA			2EP6A			
		3BE2A			1X5XA			
		2VQVA			1YR5B			
		4IE5A			1Z3SB			
		3RHKB			1YPOH			
		1AA2A			1XMKA			
		3ETOB			1Y8XA			
		2D0UB			1ZMQC			
		1ND5A			1YZ4A			
		3CAQB			1XM2A			
		4H5NB			1Y96D			
		4NCSA			1ZMMB			
		e+90B			2F6NA			
		3ZBFA			1X69A			
		3UT3D			2EYZA			
		2W0UC			2F6QB			
		1WERA			2ACMB			
		3NPCA			2ACHB			
		2O2KA			2F57A			
		3NR9B			1YZGA			
		3EE6A			1Z5WA			
		2DJUA			2AINA			
		4MBSB			1YJDC			
		2YBTB			2AB1A			
		1WLZC			2AS5F			
		1KWMB			2A66A			
		2RJQA			2ERJF			
		3GCWA			1Y7XA			
		2VAFA			2A7OA			
		2HAKF			1Y7QB			
		2DJNA			1XIWF			
		4MJJA			2AL7A			
		3V2WA			1YG5C			
		1U3TB			2EO9A			
		4FO0A			1X65A			
		3GIDA			1ZC4A			
		3MDVA			2EHOK			
		4IVOB			2AWFA			
		4LCJD			1Z4KA			
		3UD1C			1ZSGA			
		4H3BA			2A5JA			
		2IWZB			1Z6XB			
		3D3LB			1XKEA			
		3VWKA			2A5GA			
		2JEDB			1Y02A			
		3KQ4E			1ZR0B			
		2YOBA			2A7LB			
		3LXCA			1ZT3A			
		1DC2A			1ZDNB			
		3GRSA			2AR5A			
		1NWTA			1YHVA			
		2XN5A			1X5WA			
		4IG8A			1YO5C			
		3MMYE			1XB0B			
		1SIQA			1YFKA			
		2OBVA			2AZEC			
		2P0AA			1Z6CA			
		4A6EA			2ES0A			
		3BINA			2EECA			
		1JVQL			2AI6A			
		4AP6A			1X6FA			
		1WAO1			1X61A			
		2RMNA			1YRKA			
		3RUKC			1Z6UB			
		1AFOB			2ATVA			
		3QVEC			1X5ZA			
		2VM8D			1ZR3C			
		4K9WA			2EHOB			
		3DLXA			1YB1B			
		2X8BA			2EE5A			
		4MR7B			1XKTA			
		3QORB			1Y8OB			
		3FXMA			2ADBA			
		1A9NA			1X67A			
		3CTZA			1Z9MA			
		2DAFA			4GWRB			
		3QKJD			2A41C			
		4F14A			2F7SA			
		1T2FC			2A8HA			
		3KJOA			2ARVA			
		2HGSA			1XWEA			
		3E0LA			2OSGA			
		4AW6E			2AQ0A			
		3FE1B			4FLBA			
		2X0BD			2A9JB			
		1K6MB			2A8JA			
		2W8RA			2F37B			
		3G1NB			1X6DA			
		4I8VB			2A8BA			
		3N2ZB			2ASTA			
		2PQFB			1ZV4X			
		3QP3C			1Z7CA			
		3DI2D			1Y6LA			
		4LT6A			2PSRA			
		3F5ND			1Y8PA			
		1JIQB			1Z57A			
		1M9KB			2F1ZB			
		3P53B			2A98A			
		2NSUA			2AG5A			
		3M7PA			2AR7B			
		4H1YP			2AA6B			
		3QFCA			4G2VB			
		2DIZA			2AFTX			
		3E7GD			2AX4D			
		2QQMA			1YDEL			
		2AI6A			1Z00A			
		3FBYA			1ZDTB			
		4DYOA			2PP4A			
		2GK1G			2A9UA			
		4GWRB			1YHNB			
		2DNOA			1XDMD			
		e+70A			2P39A			
		3F62B			4G0NB			
		3AKMD			2ACUA			
		3DI2A			2AC3A			
		3TGXN			1ZD1A			
		4C5WA			2P31A			
		2V60A			1ZZAA			
		3THCA			2PNTB			
		3SOAA			1Z0AA			
		1X6DA			1Z29A			
		1JMOA			2PONB			
		2MAWA			2A72B			
		3PHDA			1XCRA			
		3HFVA			2A2NA			
		2WFJA			2ATXB			
		4KC3B			2A55A			
		4OR2B			1Y6KL			
		3LJ8A			1ZKLA			
		1QKID			4FVPA			
		3MQIC			1XWNA			
		2XQNM			2Q53A			
		2CKKA			4GMJC			
		3ZYIA			2A1IA			
		2JKVA			2AZEB			
		4BX9A			1XTJA			
		3PS5A			2PVYD			
		3YGSC			4H3KE			
		3NO8B			4FMUA			
		3QX3A			2P6VA			
		3N3FB			2ANWA			
		4DPGF			2OS6A			
		1WX7A			4GGFU			
		2HDLA			2ADCA			
		4CCAA			1YC0A			
		3KQ4B			1YCKA			
		2RLOA			1ZSXA			
		2H2BA			2MD7B			
		4IDOB			1YTQA			
		3HU6A			1ZKCA			
		2H61A			2PY1A			
		3VBBE			2OUCA			
		1X9NA			1XWIA			
		1XA6A			1Y8RA			
		2NLKA			2P64B			
		2XSTA			1ZY7A			
		2XRCA			1ZD8A			
		1NZXB			1YWHE			
		1RI9A			2OXCB			
		4N4WA			2ALRA			
		4DQYF			2PL3A			
		4CLTA			4FMDD			
		3EH2C			2OQ5A			
		1F4RA			2Q4KB			
		4IP7D			2A14A			
		1Y8RE			1XV9D			
		2CSFA			1X80B			
		2L0AA			1XYED			
		3L5KA			2PQAB			
		2DE0X			2OUDA			
		3PT3B			2AZEA			
		2EW3A			2AMYA			
		3HNCA			2OUJA			
		1I71A			1ZS9A			
		3ZYGB			1XKSA			
		2O36A			2QCQB			
		2IWNA			1ZNCB			
		2Y5CB			2AEXA			
		2JUNA			2F8VA			
		2XRIA			2Q3FB			
		1Y8PA			1Z0IA			
		4C0DA			2PIPL			
		1DO5D			4GUKA			
		3VWWA			4GIWA			
		3CXLA			4GLLA			
		3VPPA			1X62A			
		2Y43A			4FMWB			
		4H80E			1X68A			
		1PJ2A			2Q87B			
		1XNJA			4H4FA			
		1TUZA			2OTTY			
		3KXOA			4GS9A			
		1YFKA			2AYNA			
		4JIZA			1XFBD			
		3ULLB			4GTUB			
		2DL1A			1YB5A			
		3QT2B			2ALDA			
		1JEYB			2QBXA			
		1IL8A			2A1XA			
		4DXTA			3SL9F			
		4J2CC			1YOKA			
		2PEHB			1XQRB			
		2ENJA			2Q3HA			
		1JJXA			1XR0B			
		3F6KA			4H5SB			
		2O72A			2AXLA			
		2EOCA			2PQFB			
		2YF0A			4GXBA			
		3O4OC			1ZRHA			
		2IWPA			2A1RB			
		2YTWA			1ZXQA			
		4BPBA			4FV2A			
		3O4RB			1ZVDA			
		1X44A			2PKDB			
		3VVWA			2ODEC			
		2NZ2A			1YSEA			
		3PFFA			4GGFL			
		1UG1A			4GOSA			
		2DYQA			1ZCMA			
		3COUA			1ZXNB			
		1XM9A			1ZNQO			
		4MPMA			3TWRB			
		3NMZA			2OVAA			
		2WWYB			2AOTB			
		3L6YC			4GQBB			
		1G1CA			2P02A			
		4KNGB			2PRTA			
		1AOSA			3TOJB			
		3NEYB			1Y8RE			
		2E5NA			2PSXA			
		2HGLA			3U21B			
		2FFUA			4GN1D			
		e+71A			1XMID			
		2M3TA			1YA0A			
		3A1FA			3TVLB			
		4K87A			2QA5A			
		2DNHA			1YXMD			
		1RN7A			1YX6A			
		4G1TB			2NQ3A			
		3MX7A			1X79B			
		4BQ7D			4GFVA			
		2B9RB			3U3FB			
		3DZ8A			2P8EB			
		2RS9B			1YRVA			
		2DIYA			3TLPA			
		2JW5A			2PLAB			
		2KOMA			2PXXA			
		2AB1A			2L0FB			
		4IRQB			3TUGA			
		4HNMA			1ZQ9A			
		4BGCA			2PSOB			
		4AVPA			4FSSB			
		2GGZA			4H5NB			
		3OTQA			2P5XA			
		1WH0A			4FQGB			
		2P5SB			2OOBA			
		2LXUA			3TSOB			
		4AH6D			2PNYA			
		2KSNA			2PV0A			
		3MDJC			4H7WA			
		2F1ZB			2Q5EC			
		4L3VB			2Q8KA			
		1N52A			3U12A			
		3I2BI			1ZBQC			
		3BUAC			4FO9A			
		4DUQA			2QAGB			
		3NYOA			2AFOA			
		2DGUA			2QG1A			
		2XWBH			3TOAA			
		4JQGB			2PQTA			
		3KM0A			4GJ3A			
		3GGEA			4GT4B			
		1H9UD			3TDUA			
		3H8XA			4FNWA			
		2DKSA			2ME6A			
		2YREA			2Q5AA			
		1UW4C			4H6JA			
		1N26A			3T5XA			
		1SMOA			4GO6B			
		4NSQC			2ODDA			
		2XIOA			2KXJA			
		2KWOB			1Z3KA			
		2CRFA			2P3WB			
		2R8UA			2A01A			
		2BIDA			2OO1B			
		1ITVA			2L33A			
		4GQBA			3TKRD			
		4AIWA			2JRIA			
		2KM6A			2PA2B			
		2CTJA			2OVQB			
		4IQRB			2PA1A			
		1N11A			4GBXD			
		4FM9A			4G1CB			
		1LMJA			3U10A			
		3Q91D			4FP9G			
		3COKA			3TUOB			
		3TKRD			2QEPA			
		2VM5A			2OZLA			
		3V5WA			2L08A			
		2Y1HA			3UCRD			
		4AF3A			4GDXB			
		3WBPA			2P6NA			
		4L7EB			2OU1K			
		1NI6D			4GAOG			
		3SOGA			2Q4GW			
		2F9MA			4GKYA			
		4CGYA			2PERA			
		3RC8A			2O52B			
		2KXJA			2P57A			
		2HVZA			2O2OA			
		2DH7A			2P6BD			
		2XVSA			2QFEA			
		3MDIA			2OCTB			
		1WFOA			2OHFA			
		3FO5A			2L2OA			
		3EZZC			2XQNM			
		2JI4A			2KV3A			
		1LM5A			4G8AC			
		1NN6A			3UEOC			
		3ICIB			3UK6H			
		1XWNA			2P0AA			
		4J8SA			2KYXA			
		3PP2A			4GGDA			
		2XPHB			2P82A			
		1JSGA			2KXCA			
		2HXSA			4GJ7B			
		3MK6A			4FZFB			
		3V8OB			3TV0B			
		3P0UA			4H10B			
		2DN8A			1YK0B			
		3HVEA			2MF9A			
		4FQNA			4GEBB			
		3QF2B			4GYYA			
		1UJSA			4GDXA			
		2I3BA			2KNXA			
		2JFLA			2Q7MD			
		2MA2A			3SOOC			
		1JFIB			3TYYA			
		3WAAC			3TO8A			
		2WCBA			4GBAB			
		1ZJKA			3SOAA			
		1PLSA			2K1PA			
		1Y3JA			3T7OA			
		1IGRA			2QC7B			
		3V6MB			2QK4A			
		4CAIC			1X86E			
		2KT0A			4GDKE			
		4EIHA			2KXSA			
		3BD0D			3UA8A			
		2IFGA			4H27A			
		3NXTA			1ZBUB			
		2L9RA			2JG8B			
		3PYCA			2Q8HA			
		4ED5B			2PD6B			
		2IWGE			2NN6H			
		2H11B			2LA5B			
		2JC2D			3SIUB			
		3VVWB			3TMOA			
		4IC7B			3TF2B			
		4I2XF			2K9UA			
		3QS9G			3U5NB			
		4CRSA			4GMJD			
		3AIHA			3T6AC			
		2M85A			4H2DA			
		4HXIB			4GLPA			
		4JUYA			3UB2A			
		3TMOA			2PIDA			
		2X4DB			2QA7C			
		2CPCA			2P0FA			
		4DA1A			2L3LA			
		1EFVB			1ZMDA			
		4KFZA			2MJ7A			
		1ILTA			2KLEA			
		1ZC4A			2KWOB			
		1FUJD			2KUOA			
		1QTYU			2B1UA			
		3FZMB			4H10A			
		2GH0A			2P8QA			
		4J1YA			2P5SB			
		4C29A			2OYTA			
		e+30A			2KZSA			
		1BQQM			2VPKA			
		3C59A			1Y2OA			
		2PQAB			2L0YA			
		2JWAA			2PFIB			
		1WSVA			2P0WA			
		1FYXA			2O10A			
		2FV8A			2OAYA			
		3DZXA			3TNUB			
		2LGYA			2L2LA			
		3RSWA			2Q80E			
		3GD7C			2OCIA			
		1SZBA			4G6LB			
		3FF7D			2C5LD			
		2YZ8A			3U8ZC			
		3TH4H			2KV4A			
		3GGSB			1VECB			
		2FV7A			2NS2B			
		2WFDB			1YVLA			
		3B6YB			2C6BA			
		3MQMA			2BKFA			
		2I6LB			2O13A			
		3ZWFA			2NLLB			
		3RWRE			2K3TA			
		3RK6A			3SM9A			
		1WJ4A			3U5OI			
		3V53A			2L4MA			
		3URFZ			2L80A			
		4CEKA			2XC7A			
		3EX7E			2J1LA			
		1D1JA			2NZJC			
		3G07E			2C7AA			
		3HRNA			2B6HA			
		2NN6D			2ARQA			
		2V5EB			2C52B			
		2RBLB			2QFZB			
		4HABA			3TWJC			
		4IM0A			2MGXA			
		2QC7B			2OO0A			
		2QGXB			2KBCB			
		2C6QC			2KZ5A			
		1A3QA			2K21A			
		2J60B			2XEQC			
		3AZND			2O2TA			
		2F15A			2OBYD			
		2O52B			4H3BA			
		2O96A			2PZ1A			
		4FMWB			3TXOA			
		1JEQA			2BK8A			
		2R3AA			2O6LB			
		2YDJB			2C6UA			
		1EM2A			3UIOD			
		2FEBA			3TSZA			
		2WNTA			2L6KA			
		2OO4A			2C6YA			
		1G82A			4FP9D			
		3QK3C			2BYGA			
		2KUMA			2O94C			
		4FP9D			2OIDD			
		1RYUA			2C46B			
		1QMVC			2KOMA			
		1WWVA			1XA6A			
		3EI4B			3SMPB			
		4AWNA			3TW8A			
		1BRPA			2BMEC			
		3LQZA			2XNSB			
		2QKHA			2NPLX			
		3TOJB			2B6FA			
		3MAZA			3T6GD			
		2FMME			2XQQB			
		1PJAA			2B90A			
		2JBHA			2KE5A			
		2OQ0B			2BKDN			
		2YWKA			2BCDA			
		4H27A			2KM6A			
		2M16A			2WFJA			
		2HZ6A			2C01X			
		3GBJC			3TGXN			
		2YU2A			2XMQC			
		2YLMA			3TT9A			
		1YSEA			2BJNB			
		2KUPA			2L4NA			
		2ICES			2KEOA			
		1XB0B			2XDGB			
		3NMQA			2C35E			
		1NFIE			3SXSA			
		3RIPA			2OOQB			
		1Z3SB			2BYEA			
		4M6WA			2P2RA			
		1HU3A			2J0FA			
		2OCIA			2BEIB			
		1Z6CA			2B2TB			
		2E9XG			2JCNA			
		4BHXB			2OKVD			
		2M9AA			2P8UB			
		2DT6A			2C0LB			
		3AP1B			3TZDT			
		2YYOA			2OX8B			
		2OBDA			1V1CA			
		2LLYA			2OX0A			
		3P1AA			2C0JA			
		3FA2B			1V66A			
		1UZPA			2NYTA			
		1QUBA			2JP0A			
		3U5NB			2BBAA			
		3EFHA			2XSWA			
		1AXCA			3SP8B			
		2HDEA			2BMJA			
		1WJRA			2OJ4A			
		3MSXB			2BSKD			
		2LKNA			2K27A			
		4EDJB			2BT2C			
		2GTRB			2PF6A			
		1UF0A			2BKRA			
		1PV8B			2JNGA			
		4I6HA			3U3VA			
		4ERNA			2XIKA			
		2Z13A			2BR9A			
		2EA2A			2XS6A			
		2OUJA			3T6GA			
		2JGCA			1XNJA			
		1XFBD			2C47D			
		1ZQ9A			2C74B			
		2BO9D			2B9RB			
		2R53A			2L64A			
		2VO1A			2OB4A			
		4GN1D			2XSND			
		1UEPA			4G84A			
		4M8NH			3T30B			
		1UVGA			2V4UA			
		2W5AA			2L0BA			
		2IQJA			2Q9VA			
		3B5HC			2KDBA			
		2HEVR			4FM9A			
		2KEAA			2L76A			
		1IHIB			2A2DA			
		4AJ5Q			2MKFA			
		1NCUA			2BTPA			
		3D34B			2JYEA			
		2LMIA			2O0LB			
		3V2BA			2BWJC			
		1AOAA			3UA9B			
		3FCXA			3TFYC			
		3IQ7A			2JP2A			
		2JIIA			1VIGA			
		2LQ6A			3T0OA			
		2YUYA			2EFLA			
		2DB5A			2OLMA			
		4BIEA			2KYGC			
		3QJ4A			2BGDA			
		3PH9A			2K8OA			
		2WZ1B			3TEQD			
		3W14F			2PFNA			
		3O35A			3T6PA			
		2ED7A			2RNQA			
		3LD6A			2O96A			
		3RCQA			4GEHD			
		3SHEA			2C35D			
		3UCRD			3U9CA			
		4NN2A			2B9EA			
		3OMVA			2L0AA			
		2YHOB			2OJUB			
		2HDHB			3T9LA			
		2E9XH			2P0RB			
		2ZMVA			2NN6E			
		2Y05C			2C0YA			
		1D6GA			2QRAC			
		2C35E			2C43A			
		2IB9A			2K3WA			
		4FO9A			2L7BA			
		1WYRA			2OBVA			
		3W97C			2JWAA			
		3GTUB			2BIDA			
		2I6AD			2K1LB			
		1ZV4X			2B49A			
		2XAHA			2BO9D			
		4JT6D			2W2VB			
		1X5FA			2BQ0A			
		4GMJD			3SOGA			
		3MB3A			2JQ6A			
		4LNZA			3TGXC			
		3IE3A			2BKAA			
		4IF6A			2BQ8X			
		2YRYA			2Q3EB			
		4C59A			2JRZA			
		3GF9A			2XT3A			
		4F7OA			3UJRA			
		2MBCA			3SWYA			
		4GBXD			3TK9A			
		1GH7A			2Y1XB			
		2ED9A			2KYTA			
		2Y7JD			1V5JA			
		4JOLD			4FRWA			
		1AXIA			3FKCA			
		1MQ0B			4FU4D			
		3VAMA			1V95A			
		2EJMA			2VQVA			
		2YSMA			2J4EE			
		3CKKA			2JQZA			
		1F5NA			2KW3B			
		2JDFA			4FXFB			
		4FRWA			2BZLA			
		1N3LA			2KKTA			
		2MBGA			2QPWA			
		3CFWA			2RA4A			
		2F6QB			2X2RA			
		1K1GA			2K6MS			
		3F7GB			4FOMA			
		3HMHA			2JXBA			
		2BKRA			2L1IA			
		3HZJC			2JGCA			
		1PL6A			2KA4B			
		1WUUC			2XUSA			
		2GF2B			2BOXA			
		1YB1B			2AW5B			
		3G81C			2R99A			
		4I5LB			2L0TB			
		2GL8C			2XAHB			
		1ALUA			2XTCA			
		1XCRA			3T5IB			
		3RBGB			2B25B			
		2D2ZA			2K9AA			
		3FE2B			2KDDA			
		1CP3B			2KOEA			
		3NW6A			2R4HC			
		1YWHE			2KHNA			
		2FP0B			2W2IC			
		3BLJA			2XZGA			
		3OTEB			2V3SB			
		2REXD			2QYNA			
		2X7GA			2RN9A			
		3EC8A			2QLUA			
		2BUJA			2PPLA			
		3VFDA			2V4MD			
		2V24A			3SUAD			
		1SO0D			2B0UD			
		4K92A			2RFJA			
		2EDJA			2J3SA			
		3UYJB			4GA7A			
		3PFNB			3TG3C			
		2OBYD			2C2NA			
		1LCYA			2AZTB			
		3QYBA			2WNOA			
		2E7MA			2X57A			
		1HZDA			2JVZA			
		3OX6B			2X36E			
		3ZONA			2K40A			
		3SQVD			2QXIA			
		3VYXA			2BUJA			
		4B18A			2KIJA			
		3B76A			2B0OE			
		2PNYA			2QQ2L			
		1PGZA			2MKDA			
		1SD1A			2QS9A			
		2QNJA			3UIUB			
		2COCA			2R0BA			
		3M66A			2JJUA			
		2K4TA			3GEBA			
		1EF1D			2QNDA			
		4GLPA			2VWRA			
		2G6ZB			2XN5A			
		3PFWP			1VYHI			
		4OLEC			2ODTX			
		2DA4A			2RGZA			
		2CMWA			2XPHB			
		1L8LB			2XNKB			
		4IY4C			1W24A			
		2K21A			2K4PA			
		2RPCA			2NN6A			
		3DCYA			2XCVA			
		1QH5A			2RJQA			
		3Q2UA			3HNGA			
		3UF1A			2L5YA			
		2KOEA			2JXXA			
		4LU3A			3I4UA			
		3ALQT			2RNFB			
		3O3IX			2W5ZA			
		3ACAB			3TH7B			
		4C9BB			2ODVA			
		2YU4A			2BP1C			
		2J67A			2JW5A			
		1ZS9A			2KUMA			
		2VGQA			2KG5A			
		3ZD2A			2KK1A			
		3T9LA			2RBLB			
		2EQMA			2VN9A			
		2LW4A			4FSVA			
		1NTYA			2NXPB			
		3GUTC			3UKMD			
		4ATUI			2VOMB			
		1Z00A			2BW0A			
		1ESRA			1V83B			
		4CEMA			2W08C			
		3FBKA			2VPDC			
		2XMQC			4G1TB			
		3WH2A			2XD7C			
		3PUFA			1WF8A			
		2OEHA			4FQ3A			
		3KVQA			2JODA			
		1CJLA			2VPHB			
		e+17A			2KEAA			
		3BFNA			2QW4D			
		4GDKE			2L73A			
		3EDTD			2BXSB			
		3WHDA			2PE4A			
		4IFSA			2KOYA			
		2ERRA			3I4RA			
		2XS6A			3UD1C			
		4ERVA			3T06E			
		4JHNA			2KIEA			
		2CPTA			2QKQB			
		3KUCA			2L9SA			
		1OKIB			2MDGA			
		3QS7C			2XIOA			
		3SZRA			2R37B			
		1TEVA			1V05A			
		2UZCC			2VOOA			
		1AX8A			2JEDB			
		4DM9A			2XDVA			
		1ZBQC			2QY7C			
		3EDHA			2R2QB			
		2ZB7A			2O72A			
		4FP9G			1XM9A			
		4IULB			2RC4A			
		2M74A			2BWGC			
		4ESRA			2C6QC			
		e+73A			1VCAA			
		2LL2A			1VZOA			
		4H4FA			2RMNA			
		3TT9A			2XSZA			
		4DM8B			2KN6A			
		3OAIB			2QYMA			
		3OPEA			2MK2A			
		3NAUA			3SQDA			
		1X80B			2KNCB			
		2HYWA			1X6HA			
		3N3KA			2WCBA			
		3US4A			4FO0A			
		1HDRA			2P01A			
		4COSA			4GNKE			
		2EGMA			3I2BI			
		4GTUB			1T0PB			
		2PERA			2XV7A			
		2IHBB			2KL7A			
		1GO4H			2C5DC			
		1DT4A			1UF0A			
		3BWYA			3VZFA			
		2K2CA			2L9RA			
		4BKXB			1URYB			
		1L8ZA			2QONA			
		4LIRB			1ZJKA			
		1NI2A			3TJEF			
		4JS2A			2R3AA			
		3NNCA			2RKBC			
		1X50A			2RB4A			
		2BWJC			2XOCA			
		2X36E			2R5TA			
		2PA2B			2OZOA			
		1E4JA			1V9VA			
		2ARVA			2J3GE			
		4FC6B			3HVEA			
		3LM0A			2KNCA			
		3VFQA			3U0VA			
		3SMPB			2R0OB			
		1ZNQO			3EYCC			
		3AL5A			3EZZC			
		1P22C			2F83A			
		2GD7A			2W86A			
		2EW9A			2K7PA			
		3BG0H			2NN2A			
		2XSWA			2QMSA			
		2HYEC			2WFNB			
		2DAOA			2LB2A			
		1AWBA			2VE7B			
		1G25A			2WWWA			
		4II1D			2KHXA			
		4HLQE			2QQ8A			
		2A66A			1W2CA			
		4N68A			3SMTA			
		1HUPA			1VD4A			
		2K2OA			3HU2E			
		4A63D			2QKHA			
		3NBNE			3I35A			
		2LC3A			2KPKA			
		4M9PA			2GF9A			
		2HW6A			2WNVC			
		1X4PA			2GS3A			
		4LEVB			1VA9A			
		2JODA			3FJIA			
		1Z7CA			3G76B			
		4OSYB			3FF7D			
		4J6SD			3UF1A			
		3JUIA			2QZ4A			
		4H2DA			2V9YA			
		4DQMC			2KMVA			
		2L4MA			1V88A			
		2CW6B			2VKCA			
		2A98A			3TG5A			
		2IFVA			2OKJB			
		1GRIB			2X29A			
		3URFA			2L9NA			
		3B9CC			3ICUA			
		1E8IA			2WPLS			
		1X65A			2GRRB			
		4A1NA			4GQBA			
		2W99A			2QQ5A			
		1K78E			2WFHB			
		4EN0A			3UMNC			
		1Y6LA			2RFIA			
		3UMIA			2J5DA			
		1L8KA			2JC6A			
		2OO0A			2XQNT			
		4B04A			3UOTA			
		2LEBA			2K2DA			
		2DHZA			1UAPA			
		3A98D			2X2UA			
		3BK3B			2QKKR			
		3CZVA			4H22A			
		2CQOA			2VDYA			
		1X5WA			1USDA			
		4NH3A			1W1HC			
		2HH2A			2R8UA			
		2KXCA			2R2PA			
		2DO3A			2OBHD			
		2X10A			2NN6D			
		2Y5LC			2Q13A			
		4C8BB			2WPIE			
		2O2TA			2NSQA			
		2QYNA			2XMLB			
		2DI8A			1VD2A			
		2OXCB			2NZ0D			
		1RZ4A			2WJXB			
		2A55A			2RIIA			
		3DH1A			2REXD			
		1UNCA			2KGTA			
		2HW5B			2X18A			
		2YUQA			1V1TA			
		2CODA			3UVJC			
		1OLME			2KK0A			
		2EDDA			3V30A			
		1F9PA			2VWIC			
		3ENMC			3G45A			
		4FSSB			3FG7A			
		2BZLA			1RMJA			
		4F9AC			3THTA			
		1OHCA			3VPNB			
		1I8LB			2J1KK			
		3EPZB			3VFDA			
		3E3BX			2L2DA			
		2RA4A			1UVGA			
		3Q0NA			2RJEC			
		2VHFB			3II5A			
		3AJBA			2QV2A			
		3E9LA			1SYXB			
		1DIGB			2WVRC			
		1BY2A			2V55D			
		2RC4A			2C5DA			
		1LQ8B			2WMNA			
		3CBQA			2W18A			
		3CZ9A			2RLOA			
		2JNGA			3I2VA			
		2KBCB			2QRVE			
		2BECA			2NZIB			
		3B7KA			3G07E			
		1B72A			2JSDA			
		1YDEL			2R17C			
		2PQTA			2QNKA			
		4CCGY			2KIVA			
		3G65C			3G33A			
		2ILAA			2R4SA			
		4B6HA			2VWMA			
		4HW5A			2W99A			
		4G34A			3VW9A			
		2D89A			2PFRA			
		3BYIB			2VO1A			
		2EPWA			2GL8C			
		2YRQA			2WWMD			
		1RY7B			3HY5A			
		2YD9A			1RONA			
		3LLUA			2O2KA			
		3DADA			2C0OB			
		4GGFL			1V5WB			
		3R6NA			3FM0A			
		3K77A			3SYXA			
		3QWLA			2WZ1B			
		2MAMA			2REPA			
		4KNGF			2R53A			
		2HB8A			2L86A			
		3R93F			2GOWA			
		3FJIA			3V2BA			
		1AINA			3T2NA			
		2JXDA			3V3KM			
		4AOTA			2R55B			
		2NN6H			3SNHA			
		1MX2A			3UYQA			
		2QPWA			2X47A			
		3II6C			2LY4B			
		2V62A			2XYNB			
		2QS9A			2WJVA			
		2A5JA			2JAMB			
		4MVTD			3V5QB			
		2M6NA			4H1YP			
		2ZV2A			2XSXB			
		1J7VR			1RPMB			
		1H66D			2WO3B			
		3S8PB			2GH0A			
		1SHZF			2JXJA			
		2OCPB			2QC8F			
		3SE4A			4G34A			
		3NWNA			1XFDB			
