structid	chain	unp
1AS4	A	P01011
1AS4	B	P01011
1ATH	A	P01008
1ATH	B	P01008
1ATK	A	P43235
1ATU	A	P01009
1ATZ	A	P04275
1ATZ	B	P04275
1AU0	A	P43235
1AU1	A	P01574
1AU1	B	P01574
1AU2	A	P43235
1AU3	A	P43235
1AU4	A	P43235
1AU8	A	P08311
1AUC	A	P10599
1AUD	A	P09012
1AUE	A	P42345
1AUE	B	P42345
1AUI	A	Q08209
1AUI	B	P63098
1AUQ	A	P04275
1AUT	C	P04070
1AUT	L	P04070
1AV1	A	P02647
1AV1	B	P02647
1AV1	C	P02647
1AV1	D	P02647
1AV5	A	P49773
1AV5	B	P49773
1AVF	A	P20142
1AVF	J	P20142
1AVF	P	P20142
1AVF	Q	P20142
1AVH	A	P08758
1AVH	B	P08758
1AVN	A	P00918
1AVO	A	Q06323
1AVO	B	Q06323
1AVO	C	Q06323
1AVO	D	Q06323
1AVO	E	Q06323
1AVO	F	Q06323
1AVO	G	Q06323
1AVO	H	Q06323
1AVO	I	Q06323
1AVO	J	Q06323
1AVO	K	Q06323
1AVO	L	Q06323
1AVO	M	Q06323
1AVO	N	Q06323
1AVR	A	P08758
1AVZ	C	P06241
1AW0	A	Q04656
1AWB	A	P29218
1AWB	B	P29218
1AWE	A	Q07889
1AWF	H	P00734
1AWF	L	P00734
1AWH	A	P00734
1AWH	B	P00734
1AWH	C	P00734
1AWH	D	P00734
1AWI	A	P07737
1AWI	B	P07737
1AWO	A	P00519
1AWQ	A	P62937
1AWR	A	P62937
1AWR	B	P62937
1AWR	C	P62937
1AWR	D	P62937
1AWR	E	P62937
1AWR	F	P62937
1AWS	A	P62937
1AWT	A	P62937
1AWT	B	P62937
1AWT	C	P62937
1AWT	D	P62937
1AWT	E	P62937
1AWT	F	P62937
1AWU	A	P62937
1AWV	A	P62937
1AWV	B	P62937
1AWV	C	P62937
1AWV	D	P62937
1AWV	E	P62937
1AWV	F	P62937
1AWW	A	Q06187
1AWX	A	Q06187
1AWZ	A	P03950
1AX8	A	P41159
1AXC	A	P12004
1AXC	B	P38936
1AXC	C	P12004
1AXC	D	P38936
1AXC	E	P12004
1AXC	F	P38936
1AXI	A	P01241
1AXI	B	P10912
1AXM	A	P05230
1AXM	B	P05230
1AXM	C	P05230
1AXM	D	P05230
1AXM	E	P05230
1AXM	F	P05230
1AXN	A	P12429
1AY6	H	P00734
1AY6	L	P00734
1AYE	A	P48052
1AYK	A	P03956
1AYP	A	P14555
1AYP	B	P14555
1AYP	C	P14555
1AYP	D	P14555
1AYP	E	P14555
1AYP	F	P14555
1AYU	A	P43235
1AYV	A	P43235
1AYW	A	P43235
1AZ1	A	P15121
1AZ2	A	P15121
1AZE	A	P62993
1AZG	A	P27986
1AZG	B	P06241
1AZM	A	P00915
1AZV	A	P00441
1AZV	B	P00441
1AZX	I	P01008
1AZX	L	P01008
1B08	A	P35247
1B08	B	P35247
1B08	C	P35247
1B09	A	P02741
1B09	B	P02741
1B09	C	P02741
1B09	D	P02741
1B09	E	P02741
1B0F	A	P08246
1B0L	A	P02788
1B1C	A	P16435
1B1E	A	P03950
1B1I	A	P03950
1B1J	A	P03950
1B22	A	Q06609
1B2I	A	P00747
1B2T	A	P78423
1B2Y	A	P04746
1B34	A	P62314
1B34	B	P62316
1B38	A	P24941
1B39	A	P24941
1B3D	A	P08254
1B3D	B	P08254
1B3E	A	P02787
1B3K	A	P05121
1B3K	B	P05121
1B3K	C	P05121
1B3K	D	P05121
1B3O	A	P12268
1B3O	B	P12268
1B3U	A	P30153
1B3U	B	P30153
1B41	A	P22303
1B47	A	P22681
1B47	B	P22681
1B47	C	P22681
1B4F	A	P29323
1B4F	B	P29323
1B4F	C	P29323
1B4F	D	P29323
1B4F	E	P29323
1B4F	F	P29323
1B4F	G	P29323
1B4F	H	P29323
1B4G	A	Q03721
1B4I	A	Q03721
1B4Q	A	P35754
1B4R	A	P98161
1B55	A	Q06187
1B55	B	Q06187
1B56	A	Q01469
1B59	A	P50579
1B5G	H	P00734
1B5G	L	P00734
1B5U	A	P61626
1B5V	A	P61626
1B5W	A	P61626
1B5X	A	P61626
1B5Y	A	P61626
1B5Z	A	P61626
1B5Z	B	P61626
1B64	A	P24534
1B68	A	P02649
1B6A	A	P50579
1B6C	A	P62942
1B6C	B	P36897
1B6C	C	P62942
1B6C	D	P36897
1B6C	E	P62942
1B6C	F	P36897
1B6C	G	P62942
1B6C	H	P36897
1B6E	A	Q13241
1B6U	A	P43628
1B72	A	P14653
1B72	B	P40424
1B7L	A	P61626
1B7M	A	P61626
1B7N	A	P61626
1B7O	A	P61626
1B7P	A	P61626
1B7Q	A	P61626
1B7R	A	P61626
1B7S	A	P61626
1B7X	A	P00734
1B7X	B	P00734
1B86	A	P69905
1B86	B	P68871
1B86	C	P69905
1B86	D	P68871
1B8K	A	P20783
1B8M	A	P23560
1B8M	B	P34130
1B8Y	A	P08254
1B98	A	P34130
1B98	M	P34130
1B9E	A	P01308
1B9E	B	P01308
1B9E	C	P01308
1B9E	D	P01308
1B9G	A	P05019
1B9O	A	P00709
1BA4	A	P05067
1BA5	A	P54274
1BA6	A	P05067
1BA8	A	P00734
1BA8	B	P00734
1BA9	A	P00441
1BAB	A	P69905
1BAB	B	P68871
1BAB	C	P69905
1BAB	D	P68871
1BAK	A	P25098
1BAS	A	P09038
1BB0	A	P00734
1BB0	B	P00734
1BB3	A	P61626
1BB3	B	P61626
1BB4	A	P61626
1BB4	B	P61626
1BB5	A	P61626
1BB5	B	P61626
1BBB	A	P69905
1BBB	B	P68871
1BBB	C	P69905
1BBB	D	P68871
1BBC	A	P14555
1BBJ	B	P01861
1BBJ	H	P01861
1BBN	A	P05112
1BBO	A	P15822
1BBR	F	P02671
1BBR	G	P02671
1BBR	I	P02671
1BBS	A	P00797
1BBS	B	P00797
1BBY	A	P13984
1BBZ	A	P00519
1BBZ	C	P00519
1BBZ	E	P00519
1BBZ	G	P00519
1BC7	C	P28324
1BC8	C	P28324
1BC9	A	Q15438
1BCD	A	P00918
1BCI	A	P47712
1BCK	A	P62937
1BCN	A	P05112
1BCU	H	P00734
1BCU	L	P00734
1BD8	A	P55273
1BD9	A	P30086
1BD9	B	P30086
1BDA	A	P00750
1BDA	B	P00750
1BEH	A	P30086
1BEH	B	P30086
1BF5	A	P42224
1BF9	A	P08709
1BFB	A	P09038
1BFC	A	P09038
1BFF	A	P09038
1BFG	A	P09038
1BG2	A	P33176
1BGO	A	P43235
1BH5	A	Q04760
1BH5	B	Q04760
1BH5	C	Q04760
1BH5	D	Q04760
1BH7	A	P02730
1BH8	A	Q15543
1BH8	B	Q15544
1BH9	A	Q15543
1BH9	B	Q15544
1BHD	A	P46939
1BHD	B	P46939
1BHF	A	P06239
1BHG	A	P08236
1BHG	B	P08236
1BHH	A	P06239
1BHH	B	P06239
1BHI	A	P15336
1BHO	1	P11215
1BHO	2	P11215
1BHQ	1	P11215
1BHQ	2	P11215
1BHS	A	P14061
1BHT	A	P14210
1BHT	B	P14210
1BHX	A	P00734
1BHX	B	P00734
1BHX	F	P00734
1BI7	A	Q00534
1BI7	B	P42771
1BI8	A	Q00534
1BI8	B	P55273
1BI8	C	Q00534
1BI8	D	P55273
1BIC	A	P00918
1BIJ	A	P69905
1BIJ	B	P68871
1BIJ	C	P69905
1BIJ	D	P68871
1BIK	A	P02760
1BIL	A	P00797
1BIL	B	P00797
1BIM	A	P00797
1BIM	B	P00797
1BIO	A	P00746
1BIW	A	P08254
1BIW	B	P08254
1BIX	A	P27695
1BJ1	V	P15692
1BJ1	W	P15692
1BJ4	A	P34896
1BJ5	A	P02768
1BJ8	A	P40189
1BJB	A	P05067
1BJC	A	P05067
1BJX	A	P07237
1BKA	A	P02788
1BKC	A	P78536
1BKC	C	P78536
1BKC	E	P78536
1BKC	I	P78536
1BKD	R	P01112
1BKD	S	Q07889
1BKE	A	P02768
1BKF	A	P62942
1BKR	A	Q01082
1BKZ	A	P47929
1BKZ	B	P47929
1BL1	A	Q03431
1BL4	A	P62942
1BL4	B	P62942
1BL6	A	Q16539
1BL7	A	Q16539
1BLA	A	P09038
1BLD	A	P09038
1BLR	A	P29373
1BLX	A	Q00534
1BM0	A	P02768
1BM0	B	P02768
1BM2	A	P62993
1BM5	A	P29373
1BM6	A	P08254
1BM7	A	P02766
1BM7	B	P02766
1BMB	A	P62993
1BMK	A	Q16539
1BML	A	P00747
1BML	B	P00747
1BMM	H	P00734
1BMM	L	P00734
1BMN	H	P00734
1BMN	L	P00734
1BMO	A	P09486
1BMO	B	P09486
1BMP	A	P18075
1BMQ	A	P29466
1BMQ	B	P29466
1BMZ	A	P02766
1BMZ	B	P02766
1BN1	A	P00918
1BN3	A	P00918
1BN4	A	P00918
1BN5	A	P50579
1BND	A	P23560
1BND	B	P20783
1BNK	A	P29372
1BNL	A	P39060
1BNL	B	P39060
1BNL	C	P39060
1BNL	D	P39060
1BNM	A	P00918
1BNN	A	P00918
1BNQ	A	P00918
1BNT	A	P00918
1BNU	A	P00918
1BNV	A	P00918
1BNW	A	P00918
1BNX	A	P02730
1BO0	A	P80098
1BO9	A	P04083
1BOA	A	P50579
1BOE	A	P24593
1BOR	A	P29590
1BOY	A	P13726
1BOZ	A	P00374
1BP1	A	P17213
1BP3	A	P01241
1BP3	B	P16471
1BP5	A	P02787
1BP5	B	P02787
1BP5	C	P02787
1BP5	D	P02787
1BPV	A	Q8WZ42
1BPX	A	P06746
1BPY	A	P06746
1BPZ	A	P06746
1BQO	A	P08254
1BQO	B	P08254
1BQQ	M	P50281
1BQS	A	Q13477
1BQT	A	P05019
1BQU	A	P40189
1BQU	B	P40189
1BR8	I	P01008
1BR8	L	P01008
1BR9	A	P16035
1BRC	I	P05067
1BRP	A	P02753
1BRQ	A	P02753
1BSI	A	P04746
1BSX	A	P10828
1BSX	B	P10828
1BT6	A	P60903
1BT6	B	P60903
1BTH	H	P00734
1BTH	J	P00734
1BTH	K	P00734
1BTH	L	P00734
1BTJ	A	P02787
1BTJ	B	P02787
1BTK	A	Q06187
1BTK	B	Q06187
1BTQ	A	P02730
1BTR	A	P02730
1BTS	A	P02730
1BTT	A	P02730
1BU1	A	P08631
1BU1	B	P08631
1BU1	C	P08631
1BU1	D	P08631
1BU1	E	P08631
1BU1	F	P08631
1BU9	A	P42773
1BUH	A	P24941
1BUH	B	P61024
1BUI	A	P00747
1BUI	B	P00747
1BUO	A	Q05516
1BUV	M	P50281
1BUW	A	P69905
1BUW	B	P68871
1BUW	C	P69905
1BUW	D	P68871
1BUY	A	P01588
1BV3	A	P00918
1BV8	A	P01023
1BW6	A	P07199
1BWC	A	P00390
1BWN	A	Q06187
1BWN	B	Q06187
1BWX	A	P01270
1BX2	A	P01903
1BX2	B	P01911
1BX2	C	P02686
1BX2	D	P01903
1BX2	E	P01911
1BX2	F	P02686
1BX4	A	P55263
1BXL	A	Q07817
1BXL	B	Q16611
1BY1	A	Q14155
1BY2	A	Q08380
1BY4	A	P19793
1BY4	B	P19793
1BY4	C	P19793
1BY4	D	P19793
1BY6	A	P02655
1BY7	A	P05120
1BY8	A	P43235
1BYG	A	P41240
1BYQ	A	P07900
1BYW	A	Q12809
1BZ0	A	P69905
1BZ0	B	P68871
1BZ0	C	P69905
1BZ0	D	P68871
1BZ1	A	P69905
1BZ1	B	P68871
1BZ1	C	P69905
1BZ1	D	P68871
1BZ4	A	P02649
1BZ8	A	P02766
1BZ8	B	P02766
1BZC	A	P18031
1BZD	A	P02766
1BZD	B	P02766
1BZE	A	P02766
1BZE	B	P02766
1BZG	A	P12272
1BZH	A	P18031
1BZJ	A	P18031
1BZK	A	P02730
1BZM	A	P00915
1BZS	A	P22894
1BZY	A	P00492
1BZY	B	P00492
1BZY	C	P00492
1BZY	D	P00492
1BZZ	A	P69905
1BZZ	B	P68871
1BZZ	C	P69905
1BZZ	D	P68871
1C07	A	P42566
1C0F	S	P06396
1C0G	S	P06396
1C15	A	O14727
1C16	B	P61769
1C16	D	P61769
1C16	F	P61769
1C16	H	P61769
1C1U	H	P00734
1C1U	L	P00734
1C1V	H	P00734
1C1V	L	P00734
1C1W	H	P00734
1C1W	L	P00734
1C1Y	A	P62834
1C1Y	B	P04049
1C1Z	A	P02749
1C25	A	P30304
1C26	A	P04637
1C3D	A	P01024
1C3I	A	P08254
1C3I	B	P08254
1C3T	A	P0CG48
1C43	A	P61626
1C45	A	P61626
1C46	A	P61626
1C4U	1	P00734
1C4U	2	P00734
1C4V	1	P00734
1C4V	2	P00734
1C4Y	1	P00734
1C4Y	2	P00734
1C4Z	A	Q05086
1C4Z	B	Q05086
1C4Z	C	Q05086
1C4Z	D	P68036
1C5G	A	P05121
1C5L	H	P00734
1C5L	L	P00734
1C5M	D	P00742
1C5M	F	P00742
1C5N	H	P00734
1C5N	L	P00734
1C5O	H	P00734
1C5O	L	P00734
1C5W	A	P00749
1C5W	B	P00749
1C5X	A	P00749
1C5X	B	P00749
1C5Y	A	P00749
1C5Y	B	P00749
1C5Z	A	P00749
1C7B	A	P69905
1C7B	B	P68871
1C7B	C	P69905
1C7B	D	P68871
1C7C	A	P69905
1C7C	B	P68871
1C7C	D	P68871
1C7D	A	P69905
1C7D	B	P68871
1C7D	D	P68871
1C7P	A	P61626
1C7U	A	Q02078
1C7U	B	Q02078
1C83	A	P18031
1C84	A	P18031
1C85	A	P18031
1C86	A	P18031
1C87	A	P18031
1C88	A	P18031
1C8P	A	P32927
1C8Q	A	P04745
1C8T	A	P08254
1C8T	B	P08254
1C98	A	P08949
1C9A	A	P08949
1C9B	A	Q00403
1C9B	B	P20226
1C9B	E	Q00403
1C9B	F	P20226
1C9B	I	Q00403
1C9B	J	P20226
1C9B	M	Q00403
1C9B	N	P20226
1C9B	Q	Q00403
1C9B	R	P20226
1C9H	A	P68106
1C9Q	A	P98170
1C9Y	A	P00480
1CA0	D	P05067
1CA0	I	P05067
1CA2	A	P00918
1CA3	A	P00918
1CA4	A	Q12933
1CA4	B	Q12933
1CA4	C	Q12933
1CA4	D	Q12933
1CA4	E	Q12933
1CA4	F	Q12933
1CA7	A	P14174
1CA7	B	P14174
1CA7	C	P14174
1CA8	A	P00734
1CA8	B	P00734
1CA9	A	Q12933
1CA9	B	Q12933
1CA9	C	Q12933
1CA9	D	Q12933
1CA9	E	Q12933
1CA9	F	Q12933
1CA9	G	P20333
1CA9	H	P20333
1CAH	A	P00918
1CAI	A	P00918
1CAJ	A	P00918
1CAK	A	P00918
1CAL	A	P00918
1CAM	A	P00918
1CAN	A	P00918
1CAO	A	P00918
1CAQ	A	P08254
1CAY	A	P00918
1CAZ	A	P00918
1CB0	A	Q13126
1CB3	A	P00709
1CB5	A	Q13867
1CB5	B	Q13867
1CB5	C	Q13867
1CB6	A	P02788
1CBL	A	P68871
1CBL	B	P68871
1CBL	C	P68871
1CBL	D	P68871
1CBM	A	P68871
1CBM	B	P68871
1CBM	C	P68871
1CBM	D	P68871
1CBQ	A	P29373
1CBS	A	P29373
1CC0	A	P61586
1CC0	C	P61586
1CC0	E	P52565
1CC0	F	P52565
1CCS	A	P00918
1CCT	A	P00918
1CCU	A	P00918
1CCZ	A	P19256
1CD8	A	P01732
1CD9	A	P09919
1CD9	C	P09919
1CDB	A	P06729
1CDH	A	P01730
1CDI	A	P01730
1CDJ	A	P01730
1CDL	A	P62158
1CDL	B	P62158
1CDL	C	P62158
1CDL	D	P62158
1CDQ	A	P13987
1CDR	A	P13987
1CDS	A	P13987
1CDU	A	P01730
1CDW	A	P20226
1CDY	A	P01730
1CDZ	A	P18887
1CE6	B	P61769
1CEA	A	P00747
1CEA	B	P00747
1CEB	A	P00747
1CEB	B	P00747
1CEE	A	P60953
1CEE	B	P42768
1CF0	A	P07737
1CF0	B	P07737
1CF4	A	P60953
1CF4	B	Q07912
1CF7	A	Q16254
1CF7	B	Q14188
1CFA	A	P01031
1CFF	B	P23634
1CFG	A	P00451
1CFH	A	P00740
1CFI	A	P00740
1CG6	A	Q13126
1CGE	A	P03956
1CGF	A	P03956
1CGF	B	P03956
1CGH	A	P08311
1CGI	I	P00995
1CGJ	I	P00995
1CGL	A	P03956
1CGL	B	P03956
1CGQ	A	P14174
1CGQ	B	P14174
1CGQ	C	P14174
1CI4	A	O75531
1CI4	B	O75531
1CI5	A	P19256
1CI6	A	P18848
1CIL	A	P00918
1CIM	A	P00918
1CIN	A	P00918
1CIZ	A	P08254
1CJ1	A	P62993
1CJ1	B	P62993
1CJ1	C	P62993
1CJ1	D	P62993
1CJ1	E	P62993
1CJ1	F	P62993
1CJ1	G	P62993
1CJ1	H	P62993
1CJ1	I	P62993
1CJ1	J	P62993
1CJ1	K	P62993
1CJ1	L	P62993
1CJ6	A	P61626
1CJ7	A	P61626
1CJ8	A	P61626
1CJ9	A	P61626
1CJF	A	P07737
1CJF	B	P07737
1CJL	A	P07711
1CJM	A	P0DMM9
1CJY	A	P47712
1CJY	B	P47712
1CK7	A	P08253
1CKC	A	P61626
1CKD	A	P61626
1CKF	A	P61626
1CKG	A	P61626
1CKG	B	P61626
1CKH	A	P61626
1CKL	A	P15529
1CKL	B	P15529
1CKL	C	P15529
1CKL	D	P15529
1CKL	E	P15529
1CKL	F	P15529
1CKP	A	P24941
1CKS	A	P33552
1CKS	B	P33552
1CKS	C	P33552
1CL3	A	Q13951
1CLL	A	P62158
1CLS	A	P69905
1CLS	B	P68871
1CLS	C	P69905
1CLS	D	P68871
1CLU	A	P01112
1CM0	A	Q92831
1CM0	B	Q92831
1CM8	A	P53778
1CM8	B	P53778
1CMI	A	P63167
1CMI	B	P63167
1CMK	I	P61925
1CMO	A	Q01196
1CMX	B	P0CG48
1CMX	D	P0CG48
1CMY	A	P69905
1CMY	B	P68871
1CMY	C	P69905
1CMY	D	P68871
1CMZ	A	P49795
1CN4	A	P19235
1CN4	B	P19235
1CN4	C	P01588
1CNB	A	P00918
1CNC	A	P00918
1CNG	A	P00918
1CNH	A	P00918
1CNI	A	P00918
1CNJ	A	P00918
1CNK	A	P00918
1CNT	1	P26441
1CNT	2	P26441
1CNT	3	P26441
1CNT	4	P26441
1CNW	A	P00918
1CNX	A	P00918
1CNY	A	P00918
1CO1	A	Q01196
1COH	A	P69905
1COH	B	P68871
1COH	C	P69905
1COH	D	P68871
1COK	A	O15350
1CP3	A	P42574
1CP3	B	P42574
1CPU	A	P04746
1CQ0	A	O43612
1CQG	A	P10599
1CQG	B	P27695
1CQH	A	P10599
1CQH	B	P27695
1CQP	A	P20701
1CQP	B	P20701
1CQR	A	P08254
1CQR	B	P08254
1CQT	A	P14859
1CQT	B	P14859
1CQT	I	Q16633
1CQT	J	Q16633
1CR8	A	Q07954
1CRA	A	P00918
1CRM	A	P00915
1CRP	A	P01112
1CRQ	A	P01112
1CRR	A	P01112
1CS3	A	Q05516
1CS8	A	P07711
1CS9	A	P68431
1CSB	A	P07858
1CSB	B	P07858
1CSB	D	P07858
1CSB	E	P07858
1CSG	A	P04141
1CSG	B	P04141
1CSK	A	P41240
1CSK	B	P41240
1CSK	C	P41240
1CSK	D	P41240
1CSY	A	P43405
1CSZ	A	P43405
1CTQ	A	P01112
1CTR	A	P62158
1CV9	A	P11912
1CVA	A	P00918
1CVB	A	P00918
1CVC	A	P00918
1CVD	A	P00918
1CVE	A	P00918
1CVF	A	P00918
1CVH	A	P00918
1CVI	A	P15309
1CVI	B	P15309
1CVI	C	P15309
1CVI	D	P15309
1CVJ	A	P11940
1CVJ	B	P11940
1CVJ	C	P11940
1CVJ	D	P11940
1CVJ	E	P11940
1CVJ	F	P11940
1CVJ	G	P11940
1CVJ	H	P11940
1CVS	A	P09038
1CVS	B	P09038
1CVS	C	P11362
1CVS	D	P11362
1CVW	H	P08709
1CVW	L	P08709
1CW3	A	P05091
1CW3	B	P05091
1CW3	C	P05091
1CW3	D	P05091
1CW3	E	P05091
1CW3	F	P05091
1CW3	G	P05091
1CW3	H	P05091
1CWA	A	P62937
1CWB	A	P62937
1CWC	A	P62937
1CWD	L	P06239
1CWE	A	P06239
1CWE	C	P06239
1CWF	A	P62937
1CWH	A	P62937
1CWI	A	P62937
1CWJ	A	P62937
1CWK	A	P62937
1CWL	A	P62937
1CWM	A	P62937
1CWO	A	P62937
1CWR	A	P30305
1CWS	A	P30305
1CWT	A	P30305
1CWW	A	O14727
1CX8	A	P02786
1CX8	B	P02786
1CX8	C	P02786
1CX8	D	P02786
1CX8	E	P02786
1CX8	F	P02786
1CX8	G	P02786
1CX8	H	P02786
1CXP	A	P05164
1CXP	B	P05164
1CXP	C	P05164
1CXP	D	P05164
1CXW	A	P08253
1CXZ	A	P61586
1CXZ	B	Q16512
1CY5	A	O14727
1CYL	A	P05112
1CYN	A	P23284
1CYU	A	P01040
1CYV	A	P01040
