modelid	unp
ENSP00000363596_1	P34972
ENSP00000439513_1	E9PGG2
ENSP00000261592_1	O94818
ENSP00000312262_1	P25098
ENSP00000333012_1	O75177
ENSP00000302160_1	P62310
ENSP00000245457_1	P43116
ENSP00000234739_1	O00512
ENSP00000349430_1	O60814
ENSP00000357024_1	P09326
ENSP00000334198_1	O95180
ENSP00000282892_1	Q13503
ENSP00000248072_1	O60412
ENSP00000261254_1	P30279
ENSP00000440629_1	P61011
ENSP00000391101_1	P0C7P3
ENSP00000433617_1	P59044
ENSP00000302955_1	P31350
ENSP00000362298_1	O95470
ENSP00000337548_1	Q13239
ENSP00000226091_1	Q15768
ENSP00000368166_1	O14640
ENSP00000256103_1	P02689
ENSP00000380053_1	A8MZ59
ENSP00000460086_1	P48775
ENSP00000347452_1	O15259
ENSP00000377303_1	P51606
ENSP00000292596_1	Q16873
ENSP00000296861_1	O75509
ENSP00000263904_1	O75886
ENSP00000363559_1	P56537
ENSP00000261195_1	P54840
ENSP00000331343_2	P01912
ENSP00000357754_1	P49901
ENSP00000462468_1	P07947
ENSP00000299727_1	P47211
ENSP00000366015_1	O43827
ENSP00000331343_3	P01912
ENSP00000229471_1	P06241
ENSP00000268220_1	P67812
ENSP00000280772_1	Q12955
ENSP00000376325_1	P40937
ENSP00000379097_1	P15514
ENSP00000281282_1	Q0VF96
ENSP00000274376_1	P20936
ENSP00000460086_2	P48775
ENSP00000377995_1	P80297
ENSP00000333193_1	P36383
ENSP00000356107_1	O14966
ENSP00000460086_3	P48775
ENSP00000460086_4	P48775
ENSP00000399139_1	Q00341
ENSP00000371330_1	P48788
ENSP00000248975_1	Q04917
ENSP00000242465_1	P10124
ENSP00000457715_1	P0CJ78
ENSP00000431795_1	P00749
ENSP00000354488_1	P19237
ENSP00000238738_1	P17081
ENSP00000369755_1	A6NLJ0
ENSP00000431795_2	P00749
ENSP00000378368_1	Q14254
ENSP00000366915_1	Q13887
ENSP00000270188_1	P00750
ENSP00000464976_2	A8MQ14
ENSP00000379873_1	P04439
ENSP00000364114_1	Q30154
ENSP00000216605_1	P11586
ENSP00000329056_2	A6NHA9
ENSP00000011653_1	P01730
ENSP00000366114_2	A6ND91
ENSP00000265148_1	Q02224
ENSP00000310491_1	Q07960
ENSP00000349678_2	A2RUH7
ENSP00000264245_2	Q2M1Z3
ENSP00000417388_1	A0FGR9
ENSP00000360316_2	Q15392
ENSP00000270586_1	P28072
ENSP00000431254_1	B9A064
ENSP00000366586_1	Q504Y0
ENSP00000234739_2	O00512
ENSP00000326879_1	Q49AR2
ENSP00000409910_1	P13747
ENSP00000409910_2	P13747
ENSP00000363596_2	P34972
ENSP00000409910_3	P13747
ENSP00000431622_1	Q3LIE5
ENSP00000356046_1	O60825
ENSP00000226091_2	Q15768
ENSP00000296581_1	P62312
ENSP00000248072_2	O60412
ENSP00000245457_2	P43116
ENSP00000261254_2	P30279
ENSP00000380053_2	A8MZ59
ENSP00000312860_1	Q6ZVM7
ENSP00000331857_1	Q7RTR0
ENSP00000325561_1	Q8IU68
ENSP00000330612_1	Q86SM5
ENSP00000299001_1	Q7Z3Z4
ENSP00000261491_1	Q86XP1
ENSP00000369100_1	Q16875
ENSP00000367755_1	Q7Z624
ENSP00000267383_1	Q86UP0
ENSP00000237275_1	Q5TFG8
ENSP00000268676_1	Q6ZN54
ENSP00000419542_1	Q6ZSA7
ENSP00000316589_1	Q6VN20
ENSP00000435365_1	Q5JTV8
ENSP00000298910_1	Q5S007
ENSP00000416707_1	Q5GH73
ENSP00000295542_1	Q5T197
ENSP00000365477_1	Q567U6
ENSP00000304782_1	Q6UWW8
ENSP00000438895_1	Q5VZ72
ENSP00000354727_1	Q674X7
ENSP00000306651_1	Q6IEV9
ENSP00000306524_1	Q6NSJ5
ENSP00000381844_1	Q6DD88
ENSP00000269033_1	Q76I76
ENSP00000283928_1	Q86VZ6
ENSP00000309577_1	Q8IVL1
ENSP00000261007_1	P02708
ENSP00000359885_1	O75177
ENSP00000368472_1	Q5T7B8
ENSP00000360113_1	Q5VU97
ENSP00000262432_1	Q6P1Q9
ENSP00000362372_1	Q6RI45
ENSP00000318197_1	Q6PEY2
ENSP00000362298_2	O95470
ENSP00000372326_1	P22830
ENSP00000357024_2	P09326
ENSP00000339145_2	Q14684
ENSP00000439513_2	E9PGG2
ENSP00000278840_2	O95864
ENSP00000312262_2	P25098
ENSP00000296861_2	O75509
ENSP00000302955_2	P31350
ENSP00000336741_2	O43143
ENSP00000409322_1	P13761
ENSP00000368169_1	O14640
ENSP00000409322_2	P13761
ENSP00000409322_3	P13761
ENSP00000409322_4	P13761
ENSP00000433617_2	P59044
ENSP00000409322_5	P13761
ENSP00000263904_2	O75886
ENSP00000357754_2	P49901
ENSP00000410857_1	P13762
ENSP00000410857_2	P13762
ENSP00000410857_3	P13762
ENSP00000410857_4	P13762
ENSP00000390020_1	P13765
ENSP00000301948_1	P51608
ENSP00000440629_2	P61011
ENSP00000309539_2	Q16555
ENSP00000334198_2	O95180
ENSP00000261592_2	O94818
ENSP00000387089_1	Q13506
ENSP00000279146_1	O00170
ENSP00000391101_2	P0C7P3
ENSP00000337548_2	Q13239
ENSP00000292432_2	P52790
ENSP00000299727_2	P47211
ENSP00000366015_2	O43827
ENSP00000363559_2	P56537
ENSP00000325017_2	Q15021
ENSP00000261693_1	Q8WTV0
ENSP00000380197_1	P54845
ENSP00000377995_2	P80297
ENSP00000318032_1	Q8N4K4
ENSP00000361669_1	Q8N693
ENSP00000313382_1	Q8IYB5
ENSP00000251376_1	Q8N149
ENSP00000405629_1	Q8N307
ENSP00000300038_1	Q8IX04
ENSP00000409000_1	Q8IZI9
ENSP00000355155_1	Q8TCU5
ENSP00000330432_1	Q8NEG4
ENSP00000325717_1	Q8TBB5
ENSP00000363046_1	Q8NFU5
ENSP00000326249_1	Q8N9F8
ENSP00000320077_1	Q8NGI4
ENSP00000423820_1	Q8NB50
ENSP00000364520_1	Q8TE23
ENSP00000300404_1	Q8NHY0
ENSP00000297623_1	Q8NCR6
ENSP00000417451_1	Q8N7X1
ENSP00000347452_2	O15259
ENSP00000305640_1	Q8NGZ6
ENSP00000376325_2	P40937
ENSP00000281282_2	Q0VF96
ENSP00000462468_2	P07947
ENSP00000268220_2	P67812
ENSP00000333193_2	P36383
ENSP00000216341_1	P10144
ENSP00000288245_1	P17096
ENSP00000379097_2	P15514
ENSP00000369755_2	A6NLJ0
ENSP00000457715_2	P0CJ78
ENSP00000371330_2	P48788
ENSP00000356107_2	O14966
ENSP00000354488_2	P19237
ENSP00000359531_1	Q00403
ENSP00000280772_2	Q12955
ENSP00000229471_2	P06241
ENSP00000274376_2	P20936
ENSP00000464976_3	A8MQ14
ENSP00000378368_2	Q14254
ENSP00000366915_2	Q13887
ENSP00000270188_2	P00750
ENSP00000365500_1	Q04941
ENSP00000364114_2	Q30154
ENSP00000450560_1	P11586
ENSP00000339302_2	O43497
ENSP00000382422_1	P04440
ENSP00000329056_3	A6NHA9
ENSP00000366114_3	A6ND91
ENSP00000382422_2	P04440
ENSP00000408146_1	P04440
ENSP00000011653_2	P01730
ENSP00000349678_3	A2RUH7
ENSP00000310491_2	Q07960
ENSP00000265148_2	Q02224
ENSP00000386393_1	Q2M218
ENSP00000417388_2	A0FGR9
ENSP00000360316_3	Q15392
ENSP00000270586_2	P28072
ENSP00000431254_2	B9A064
ENSP00000234739_3	O00512
ENSP00000366586_2	Q504Y0
ENSP00000342015_1	Q49B96
ENSP00000363596_3	P34972
ENSP00000378360_1	Q3LXA3
ENSP00000226091_3	Q15768
ENSP00000356046_2	O60825
ENSP00000248072_3	O60412
ENSP00000300413_1	P62314
ENSP00000245457_3	P43116
ENSP00000362082_1	P30281
ENSP00000380053_3	A8MZ59
ENSP00000261007_2	P02708
ENSP00000330612_2	Q86SM5
ENSP00000279477_1	Q5TFQ8
ENSP00000332265_1	O75179
ENSP00000419542_2	Q6ZSA7
ENSP00000283928_2	Q86VZ6
ENSP00000416707_2	Q5GH73
ENSP00000369100_2	Q16875
ENSP00000367755_2	Q7Z624
ENSP00000467482_1	Q8IU68
ENSP00000369797_1	Q5VZ89
ENSP00000373420_1	Q8WXA3
ENSP00000365477_2	Q567U6
ENSP00000365782_1	Q5JTW2
ENSP00000326170_1	Q8WZ73
ENSP00000374064_1	Q92932
ENSP00000260197_1	Q92673
ENSP00000316589_2	Q6VN20
ENSP00000368402_1	Q8WVF5
ENSP00000306651_2	Q6IEV9
ENSP00000331857_2	Q7RTR0
ENSP00000269033_2	Q76I76
ENSP00000343747_1	Q6DHV5
ENSP00000306524_2	Q6NSJ5
ENSP00000299001_2	Q7Z3Z4
ENSP00000295542_2	Q5T197
ENSP00000312860_2	Q6ZVM7
ENSP00000261491_2	Q86XP1
ENSP00000354727_2	Q674X7
ENSP00000360113_2	Q5VU97
ENSP00000267383_2	Q86UP0
ENSP00000368472_2	Q5T7B8
ENSP00000262432_2	Q6P1Q9
ENSP00000304782_2	Q6UWW8
ENSP00000298910_2	Q5S007
ENSP00000268676_2	Q6ZN54
ENSP00000309577_2	Q8IVL1
ENSP00000345175_1	Q6PEZ8
ENSP00000362372_2	Q6RI45
ENSP00000362298_3	O95470
ENSP00000294954_1	P22888
ENSP00000357024_3	P09326
ENSP00000339145_3	Q14684
ENSP00000439513_3	E9PGG2
ENSP00000278840_3	O95864
ENSP00000368766_1	P25100
ENSP00000296861_3	O75509
ENSP00000302955_3	P31350
ENSP00000368169_2	O14640
ENSP00000336741_3	O43143
ENSP00000433617_3	P59044
ENSP00000263904_3	O75886
ENSP00000383960_1	P49902
ENSP00000301948_2	P51608
ENSP00000390020_2	P13765
ENSP00000440629_3	P61011
ENSP00000427985_1	Q16555
ENSP00000455840_1	O95180
ENSP00000261592_3	O94818
ENSP00000387089_2	Q13506
ENSP00000279146_2	O00170
ENSP00000391101_3	P0C7P3
ENSP00000337548_3	Q13239
ENSP00000357393_1	P52797
ENSP00000299727_3	P47211
ENSP00000349503_1	O43829
ENSP00000363566_1	P56537
ENSP00000325017_3	Q15021
ENSP00000343795_1	Q8WTV0
ENSP00000316786_1	P80365
ENSP00000347452_3	O15259
ENSP00000380197_2	P54845
ENSP00000333639_1	Q8IZJ0
ENSP00000326244_1	Q8N4L1
ENSP00000361669_2	Q8N693
ENSP00000320077_2	Q8NGI4
ENSP00000363046_2	Q8NFU5
ENSP00000355155_2	Q8TCU5
ENSP00000305640_2	Q8NGZ6
ENSP00000417451_2	Q8N7X1
ENSP00000326249_2	Q8N9F8
ENSP00000423820_2	Q8NB50
ENSP00000299340_1	Q96J86
ENSP00000401305_1	Q96HH4
ENSP00000259410_1	Q96FN5
ENSP00000300880_1	Q96PG8
ENSP00000391549_1	Q96E16
ENSP00000300404_2	Q8NHY0
ENSP00000340954_1	Q96M20
ENSP00000202556_1	Q96KQ4
ENSP00000394627_1	Q96N77
ENSP00000259410_2	Q96FN5
ENSP00000306822_1	Q9NQS1
ENSP00000259410_3	Q96FN5
ENSP00000206542_1	Q9NPF4
ENSP00000359778_1	Q9HBW9
ENSP00000259410_4	Q96FN5
ENSP00000255129_1	Q9HCZ1
ENSP00000259410_5	Q96FN5
ENSP00000295131_1	Q8NEG5
ENSP00000259410_6	Q96FN5
ENSP00000430241_1	Q9HAK2
ENSP00000312224_1	Q96FN9
ENSP00000295755_1	Q9BQ08
ENSP00000288607_1	Q9BT73
ENSP00000330433_1	Q9BRN9
ENSP00000332576_1	Q969R2
ENSP00000267199_1	Q96AX1
ENSP00000271663_1	Q99755
ENSP00000243040_1	Q99471
ENSP00000362931_1	Q96SB4
ENSP00000256785_1	Q9BXR6
ENSP00000461634_1	Q9BYQ2
ENSP00000262395_1	Q9BUZ4
ENSP00000354053_1	Q9H1C3
ENSP00000356320_1	Q9BZM5
ENSP00000370508_1	Q9H2K0
ENSP00000318650_1	Q9H772
ENSP00000377816_1	Q9H3U1
ENSP00000304419_1	Q9GZK3
ENSP00000376213_1	Q9H0B3
ENSP00000256362_1	Q9H8Y1
ENSP00000303316_1	Q9H5I5
ENSP00000271925_1	Q9BWL3
ENSP00000313382_2	Q8IYB5
ENSP00000293771_1	Q96CK0
ENSP00000276616_1	Q96QS6
ENSP00000461634_2	Q9BYQ2
ENSP00000461634_3	Q9BYQ2
ENSP00000461634_4	Q9BYQ2
ENSP00000364520_2	Q8TE23
ENSP00000368428_1	Q8NCR6
ENSP00000461584_1	Q9BYQ2
ENSP00000325717_2	Q8TBB5
ENSP00000461584_2	Q9BYQ2
ENSP00000405629_2	Q8N307
ENSP00000323353_1	Q8IX04
ENSP00000458819_1	Q9BYQ3
ENSP00000251376_2	Q8N149
ENSP00000458819_2	Q9BYQ3
ENSP00000376325_3	P40937
ENSP00000458819_3	Q9BYQ3
ENSP00000458819_4	Q9BYQ3
ENSP00000366950_1	Q9BYQ4
ENSP00000281282_3	Q0VF96
ENSP00000462468_3	P07947
ENSP00000413121_1	P67812
ENSP00000340347_1	P36402
ENSP00000216341_2	P10144
ENSP00000346912_1	P15529
ENSP00000369755_3	A6NLJ0
ENSP00000288245_2	P17096
ENSP00000457715_3	P0CJ78
ENSP00000371330_3	P48788
ENSP00000356107_3	O14966
ENSP00000354488_3	P19237
ENSP00000359531_2	Q00403
ENSP00000280772_3	Q12955
ENSP00000229471_3	P06241
ENSP00000464976_4	A8MQ14
ENSP00000274376_3	P20936
ENSP00000319739_1	Q14257
ENSP00000366915_3	Q13887
ENSP00000270188_3	P00750
ENSP00000217109_1	Q05048
ENSP00000313776_1	Q30201
ENSP00000450560_2	P11586
ENSP00000355837_1	A6NHC0
ENSP00000373860_1	A6ND91
ENSP00000011653_3	P01730
ENSP00000349678_4	A2RUH7
ENSP00000408146_2	P04440
ENSP00000310491_3	Q07960
ENSP00000337340_1	A0JLT2
ENSP00000386393_2	Q2M218
ENSP00000265148_3	Q02224
ENSP00000305790_1	Q15393
ENSP00000270586_3	P28072
ENSP00000431254_3	B9A064
ENSP00000339302_3	O43497
ENSP00000234739_4	O00512
ENSP00000366586_3	Q504Y0
ENSP00000342015_2	Q49B96
ENSP00000430711_1	P34981
ENSP00000435189_1	Q15771
ENSP00000378360_2	Q3LXA3
ENSP00000356046_3	O60825
ENSP00000371786_1	O60422
ENSP00000300413_2	P62314
ENSP00000245457_4	P43116
ENSP00000324483_1	P02724
ENSP00000380053_4	A8MZ59
ENSP00000362082_2	P30281
ENSP00000330612_3	Q86SM5
ENSP00000279477_2	Q5TFQ8
ENSP00000419542_3	Q6ZSA7
ENSP00000334246_1	Q86W10
ENSP00000416707_3	Q5GH73
ENSP00000332265_2	O75179
ENSP00000369100_3	Q16875
ENSP00000367755_3	Q7Z624
ENSP00000467482_2	Q8IU68
ENSP00000369797_2	Q5VZ89
ENSP00000365477_3	Q567U6
ENSP00000373420_2	Q8WXA3
ENSP00000316589_3	Q6VN20
ENSP00000399286_1	Q5JTW2
ENSP00000368402_2	Q8WVF5
ENSP00000306651_3	Q6IEV9
ENSP00000374064_2	Q92932
ENSP00000331857_3	Q7RTR0
ENSP00000408513_1	Q8WZ73
ENSP00000260197_2	Q92673
ENSP00000269033_3	Q76I76
ENSP00000386988_1	Q6DHV5
ENSP00000306524_3	Q6NSJ5
ENSP00000295542_3	Q5T197
ENSP00000262138_1	Q9UBN1
ENSP00000294484_1	Q9P2K9
ENSP00000221504_1	Q9NXH9
ENSP00000299001_3	Q7Z3Z4
ENSP00000254853_1	Q9NWF4
ENSP00000312860_3	Q6ZVM7
ENSP00000261491_3	Q86XP1
ENSP00000354727_3	Q674X7
ENSP00000360113_3	Q5VU97
ENSP00000452493_1	Q86UP0
ENSP00000368472_3	Q5T7B8
ENSP00000356632_1	Q9P1F3
ENSP00000351466_1	Q9NZP5
ENSP00000171214_1	Q9NYR8
ENSP00000262432_3	Q6P1Q9
ENSP00000355637_1	Q9NRK6
ENSP00000350249_1	Q9NUX5
ENSP00000429276_1	Q9NSN8
ENSP00000445559_1	Q6UWW8
ENSP00000268676_3	Q6ZN54
ENSP00000309577_3	Q8IVL1
ENSP00000298910_3	Q5S007
ENSP00000345175_2	Q6PEZ8
ENSP00000362372_3	Q6RI45
ENSP00000353475_1	O95471
ENSP00000357025_1	P09326
ENSP00000294954_2	P22888
ENSP00000363929_1	Q14686
ENSP00000439513_4	E9PGG2
ENSP00000389552_1	O95865
ENSP00000368766_2	P25100
ENSP00000296861_4	O75509
ENSP00000353770_1	P31350
ENSP00000368169_3	O14640
ENSP00000268989_1	O43147
ENSP00000433617_4	P59044
ENSP00000263904_4	O75886
ENSP00000395535_1	P51608
ENSP00000367893_1	P49903
ENSP00000364968_1	O95866
ENSP00000397268_1	P13765
ENSP00000440629_4	P61011
ENSP00000397268_2	P13765
ENSP00000381581_1	P13796
ENSP00000427985_2	Q16555
ENSP00000455840_2	O95180
ENSP00000261592_4	O94818
ENSP00000264811_1	Q13507
ENSP00000222902_1	O00175
ENSP00000396523_1	P0C7Q6
ENSP00000337548_4	Q13239
ENSP00000357393_2	P52797
ENSP00000299727_4	P47211
ENSP00000363566_2	P56537
ENSP00000349503_2	O43829
ENSP00000343795_2	Q8WTV0
ENSP00000347452_4	O15259
ENSP00000316786_2	P80365
ENSP00000452966_1	P54845
ENSP00000361669_3	Q8N693
ENSP00000325017_4	Q15021
ENSP00000334329_1	Q8IZJ1
ENSP00000361392_1	Q8N4L8
ENSP00000320077_3	Q8NGI4
ENSP00000362748_1	Q8NFU7
ENSP00000355155_3	Q8TCU5
ENSP00000305640_3	Q8NGZ6
ENSP00000417451_3	Q8N7X1
ENSP00000326249_3	Q8N9F8
ENSP00000423820_3	Q8NB50
ENSP00000300404_3	Q8NHY0
ENSP00000378677_1	Q96J87
ENSP00000300880_2	Q96PG8
ENSP00000202556_2	Q96KQ4
ENSP00000401305_2	Q96HH4
ENSP00000340954_2	Q96M20
ENSP00000394627_2	Q96N77
ENSP00000282878_1	Q96E17
ENSP00000262395_2	Q9BUZ4
ENSP00000313382_3	Q8IYB5
ENSP00000255129_2	Q9HCZ1
ENSP00000306822_2	Q9NQS1
ENSP00000206542_2	Q9NPF4
ENSP00000295755_2	Q9BQ08
ENSP00000327584_1	Q9BRN9
ENSP00000359778_2	Q9HBW9
ENSP00000312224_2	Q96FN9
ENSP00000356320_2	Q9BZM5
ENSP00000295131_2	Q8NEG5
ENSP00000267199_2	Q96AX1
ENSP00000276616_2	Q96QS6
ENSP00000257632_1	Q9BT76
ENSP00000293771_2	Q96CK0
ENSP00000256785_2	Q9BXR6
ENSP00000318650_2	Q9H772
ENSP00000430241_2	Q9HAK2
ENSP00000304419_2	Q9GZK3
ENSP00000362931_2	Q96SB4
ENSP00000256362_2	Q9H8Y1
ENSP00000243040_2	Q99471
ENSP00000370508_2	Q9H2K0
ENSP00000377816_2	Q9H3U1
ENSP00000354053_2	Q9H1C3
ENSP00000354496_1	Q9BWL3
ENSP00000271663_2	Q99755
ENSP00000332576_2	Q969R2
ENSP00000376213_2	Q9H0B3
ENSP00000303316_2	Q9H5I5
ENSP00000357660_1	Q8NCR9
ENSP00000364520_3	Q8TE23
ENSP00000325717_3	Q8TBB5
ENSP00000405629_3	Q8N307
ENSP00000323353_2	Q8IX04
ENSP00000251376_3	Q8N149
ENSP00000408295_1	P40937
ENSP00000462468_4	P07947
ENSP00000413121_2	P67812
ENSP00000366950_2	Q9BYQ4
ENSP00000281282_4	Q0VF96
ENSP00000306512_1	P10145
ENSP00000307640_1	A6NLP5
ENSP00000340347_2	P36402
ENSP00000288245_3	P17096
ENSP00000457715_4	P0CJ78
ENSP00000371336_1	P48788
ENSP00000356107_4	O14966
ENSP00000409080_1	P19256
ENSP00000359531_3	Q00403
ENSP00000280772_4	Q12955
ENSP00000346912_2	P15529
ENSP00000229471_4	P06241
ENSP00000464976_5	A8MQ14
ENSP00000274376_4	P20936
ENSP00000366915_4	Q13887
ENSP00000319739_2	Q14257
ENSP00000270188_4	P00750
ENSP00000217109_2	Q05048
ENSP00000450560_3	P11586
ENSP00000373860_2	A6ND91
ENSP00000011653_4	P01730
ENSP00000355837_2	A6NHC0
ENSP00000313776_2	Q30201
ENSP00000353717_1	A2RUR9
ENSP00000310491_4	Q07960
ENSP00000337340_2	A0JLT2
ENSP00000408146_3	P04440
ENSP00000386393_3	Q2M218
ENSP00000270586_4	P28072
ENSP00000265148_4	Q02224
ENSP00000431254_4	B9A064
ENSP00000305790_2	Q15393
ENSP00000375829_1	O00515
ENSP00000440445_1	Q504Y0
ENSP00000310593_1	Q49MG5
ENSP00000430711_2	P34981
ENSP00000435189_2	Q15771
ENSP00000378360_3	Q3LXA3
ENSP00000371786_2	O60422
ENSP00000356047_1	O60825
ENSP00000300413_3	P62314
ENSP00000291294_1	P43119
ENSP00000375311_1	A8MZF0
ENSP00000324483_2	P02724
ENSP00000397545_1	P30281
ENSP00000374482_1	Q86SM8
ENSP00000339302_4	O43497
ENSP00000279477_3	Q5TFQ8
ENSP00000419542_4	Q6ZSA7
ENSP00000416707_4	Q5GH73
ENSP00000334246_2	Q86W10
ENSP00000332265_3	O75179
ENSP00000369115_1	Q16875
ENSP00000367755_4	Q7Z624
ENSP00000467482_3	Q8IU68
ENSP00000365477_4	Q567U6
ENSP00000319651_1	Q5VZB9
ENSP00000316589_4	Q6VN20
ENSP00000373420_3	Q8WXA3
ENSP00000399286_2	Q5JTW2
ENSP00000368402_3	Q8WVF5
ENSP00000306651_4	Q6IEV9
ENSP00000374064_3	Q92932
ENSP00000331857_4	Q7RTR0
ENSP00000463035_1	Q8WZ73
ENSP00000374302_1	Q6DHV7
ENSP00000269033_4	Q76I76
ENSP00000260197_3	Q92673
ENSP00000306524_4	Q6NSJ5
ENSP00000295542_4	Q5T197
ENSP00000262138_2	Q9UBN1
ENSP00000294484_2	Q9P2K9
ENSP00000368818_1	Q6ZVM7
ENSP00000261491_4	Q86XP1
ENSP00000299001_4	Q7Z3Z4
ENSP00000221504_2	Q9NXH9
ENSP00000354727_4	Q674X7
ENSP00000254853_2	Q9NWF4
ENSP00000360113_4	Q5VU97
ENSP00000452493_2	Q86UP0
ENSP00000368472_4	Q5T7B8
ENSP00000262432_4	Q6P1Q9
ENSP00000275191_1	Q9P1P5
ENSP00000171214_2	Q9NYR8
ENSP00000351466_2	Q9NZP5
ENSP00000445559_2	Q6UWW8
ENSP00000355637_2	Q9NRK6
ENSP00000268676_4	Q6ZN54
ENSP00000340693_1	Q9NUY8
ENSP00000429276_2	Q9NSN8
ENSP00000309577_4	Q8IVL1
ENSP00000345175_3	Q6PEZ8
ENSP00000362372_4	Q6RI45
ENSP00000298910_4	Q5S007
ENSP00000357025_2	P09326
ENSP00000439513_5	E9PGG2
ENSP00000328596_1	O95475
ENSP00000294954_3	P22888
ENSP00000368766_3	P25100
ENSP00000296861_5	O75509
ENSP00000363929_2	Q14686
ENSP00000353770_2	P31350
ENSP00000368169_4	O14640
ENSP00000263904_5	O75886
ENSP00000466285_1	P59045
ENSP00000395535_2	P51608
ENSP00000268989_2	O43147
ENSP00000441119_1	P49903
ENSP00000440629_5	P61011
ENSP00000381581_2	P13796
ENSP00000332215_1	Q16557
ENSP00000455840_3	O95180
ENSP00000445733_1	O94818
ENSP00000264811_2	Q13507
ENSP00000378759_1	Q13239
ENSP00000222902_2	O00175
ENSP00000415822_1	P0C7T5
ENSP00000357393_3	P52797
ENSP00000299727_5	P47211
ENSP00000311825_1	P56545
ENSP00000408430_1	O95866
ENSP00000349503_3	O43829
ENSP00000054650_1	Q8WTV1
ENSP00000347452_5	O15259
ENSP00000452966_2	P54845
ENSP00000316786_3	P80365
ENSP00000361669_4	Q8N693
ENSP00000325017_5	Q15021
ENSP00000334329_2	Q8IZJ1
ENSP00000271227_1	Q8N4M1
ENSP00000320077_4	Q8NGI4
ENSP00000362748_2	Q8NFU7
ENSP00000326249_4	Q8N9F8
ENSP00000355155_4	Q8TCU5
ENSP00000305640_4	Q8NGZ6
ENSP00000417451_4	Q8N7X1
ENSP00000423820_4	Q8NB50
ENSP00000300880_3	Q96PG8
ENSP00000300404_4	Q8NHY0
ENSP00000266673_1	Q96HH6
ENSP00000202556_3	Q96KQ4
ENSP00000340954_3	Q96M20
ENSP00000378677_2	Q96J87
ENSP00000394627_3	Q96N77
ENSP00000392917_1	O95866
ENSP00000262395_3	Q9BUZ4
ENSP00000282878_2	Q96E17
ENSP00000313382_4	Q8IYB5
ENSP00000306822_3	Q9NQS1
ENSP00000255129_3	Q9HCZ1
ENSP00000206542_3	Q9NPF4
ENSP00000295755_3	Q9BQ08
ENSP00000278780_1	Q9BRP0
ENSP00000359778_3	Q9HBW9
ENSP00000312224_3	Q96FN9
ENSP00000295131_3	Q8NEG5
ENSP00000358755_1	Q9BZP6
ENSP00000267199_3	Q96AX1
ENSP00000392917_2	O95866
ENSP00000276616_3	Q96QS6
ENSP00000293771_3	Q96CK0
ENSP00000322524_1	Q9H773
ENSP00000378319_1	Q9BT76
ENSP00000256785_3	Q9BXR6
ENSP00000430241_3	Q9HAK2
ENSP00000304419_3	Q9GZK3
ENSP00000256362_3	Q9H8Y1
ENSP00000266964_1	Q99471
ENSP00000362931_3	Q96SB4
ENSP00000275884_1	Q9ULE3
ENSP00000370508_3	Q9H2K0
ENSP00000198536_1	Q9UKJ1
ENSP00000361769_1	Q9UJD0
ENSP00000357779_1	Q9UGL9
ENSP00000319883_1	Q9UHX3
