pdbid	total_aa	distinct_bp	tot_aa_var_1kgenomes	dist_bp_var_1kgenomes	perc_var_1kgenomes
2NOY	231	116	109	67	0.4719
3CXF	231	116	109	67	0.4719
4IKJ	231	116	109	67	0.4719
4ACT	231	116	109	67	0.4719
1ZD6	231	116	109	67	0.4719
3DID	462	116	218	67	0.4719
3OZK	231	116	109	67	0.4719
4I89	231	116	109	67	0.4719
1IJN	231	116	109	67	0.4719
1SOK	231	116	109	67	0.4719
3NES	231	116	109	67	0.4719
3DJZ	231	116	109	67	0.4719
1IIK	231	116	109	67	0.4719
4DEU	231	116	109	67	0.4719
4FI7	231	116	109	67	0.4719
3A4F	231	116	109	67	0.4719
4HIQ	231	116	109	67	0.4719
3W3B	231	116	109	67	0.4719
2G4E	231	116	109	67	0.4719
4IKK	231	116	109	67	0.4719
1F41	231	116	109	67	0.4719
3NEE	231	116	109	67	0.4719
3DJT	231	116	109	67	0.4719
3P3U	231	116	109	67	0.4719
2B15	231	116	109	67	0.4719
4DER	231	116	109	67	0.4719
3OZL	231	116	109	67	0.4719
3I9A	231	116	109	67	0.4719
3DGD	462	116	218	67	0.4719
1SOQ	462	116	218	67	0.4719
4ANK	231	116	109	67	0.4719
3P3R	231	116	109	67	0.4719
3I9P	231	116	109	67	0.4719
4FI8	231	116	109	67	0.4719
4I85	231	116	109	67	0.4719
2G4G	231	116	109	67	0.4719
4IKL	231	116	109	67	0.4719
4IK6	231	116	109	67	0.4719
4DES	231	116	109	67	0.4719
3I9I	231	116	109	67	0.4719
3A4D	231	116	109	67	0.4719
1E3F	231	116	109	67	0.4719
3CFM	231	116	109	67	0.4719
4IKI	231	116	109	67	0.4719
4IIZ	231	116	109	67	0.4719
4I87	231	116	109	67	0.4719
1DVZ	229	115	108	66	0.4716
1DVU	229	115	108	66	0.4716
2B14	229	115	108	66	0.4716
2FBR	229	115	108	66	0.4716
1DVQ	229	115	108	66	0.4716
3CFQ	229	116	108	67	0.4716
2G9K	229	115	108	66	0.4716
1DVX	229	115	108	66	0.4716
1GKO	458	115	216	66	0.4716
2G3Z	229	115	108	66	0.4716
1DVS	229	115	108	66	0.4716
3TFB	229	116	108	67	0.4716
3GS7	229	115	108	66	0.4716
1DVY	229	115	108	66	0.4716
1DVT	229	115	108	66	0.4716
3U2I	227	114	107	66	0.4714
2ROY	240	121	113	70	0.4708
1TZ8	461	116	217	67	0.4707
3GRB	461	116	217	67	0.4707
3GPS	461	116	217	67	0.4707
3GRG	461	116	217	67	0.4707
1Z7J	234	118	110	67	0.4701
1FHN	230	115	108	66	0.4696
1III	230	115	108	66	0.4696
2G3X	230	115	108	66	0.4696
4ABW	230	115	108	66	0.4696
3CFN	230	115	108	66	0.4696
4ABQ	230	115	108	66	0.4696
3FCB	230	115	108	66	0.4696
3IPE	230	115	108	66	0.4696
4AC2	230	115	108	66	0.4696
3KGS	230	115	108	66	0.4696
3B56	230	115	108	66	0.4696
1TT6	230	115	108	66	0.4696
3D7P	230	115	108	66	0.4696
4ABU	230	115	108	66	0.4696
1F86	230	115	108	66	0.4696
1ZCR	230	115	108	66	0.4696
2B16	230	115	108	66	0.4696
4ABV	230	115	108	66	0.4696
3DJR	230	115	108	66	0.4696
3KGU	230	115	108	66	0.4696
1X7S	230	115	108	66	0.4696
3FC8	230	115	108	66	0.4696
3IPB	230	115	108	66	0.4696
3NEO	228	116	107	67	0.4693
1TLM	243	123	114	71	0.4691
3KGT	224	116	105	67	0.4688
4DET	220	116	103	67	0.4682
2GAB	220	114	103	66	0.4682
1TTR	233	118	109	67	0.4678
3NG5	233	117	109	67	0.4678
4DEW	227	116	106	67	0.4670
2B77	225	115	105	66	0.4667
2F8I	221	115	103	66	0.4661
3D2T	219	115	102	66	0.4658
2FLM	226	115	105	66	0.4646
3GS0	226	116	105	66	0.4646
2G5U	224	115	104	66	0.4643
2F7I	223	115	103	66	0.4619
3M1O	223	115	103	66	0.4619
3U2J	219	114	101	66	0.4612
2B9A	217	115	100	66	0.4608
1BZ8	252	126	116	71	0.4603
3GS4	224	115	103	66	0.4598
1TTB	254	127	116	71	0.4567
1BZD	254	127	116	71	0.4567
1TTC	254	127	116	71	0.4567
1BZE	254	127	116	71	0.4567
2TRH	254	127	116	71	0.4567
1TTA	254	127	116	71	0.4567
1TYR	254	127	116	71	0.4567
1ETA	254	127	116	71	0.4567
1TSH	254	127	116	71	0.4567
2TRY	254	127	116	71	0.4567
2R3V	1538	386	683	214	0.4441
3RZL	374	193	163	91	0.4358
3V1G	98	49	42	24	0.4286
2KJU	49	49	21	24	0.4286
2LGB	52	52	22	25	0.4231
1SJT	50	50	21	24	0.4200
1A7F	50	50	21	24	0.4200
4AKJ	100	50	42	24	0.4200
3E7Y	100	50	42	24	0.4200
2OM0	600	50	252	24	0.4200
4AK0	50	50	21	24	0.4200
1SJU	50	50	21	24	0.4200
2R34	100	50	42	24	0.4200
3E7Z	100	50	42	24	0.4200
1XDA	200	50	84	24	0.4200
2C8Q	50	50	21	24	0.4200
3U4N	50	50	21	24	0.4200
3RZM	193	193	81	90	0.4197
1A9W	572	286	240	176	0.4196
2OM1	603	51	252	24	0.4179
2NLG	144	36	60	17	0.4167
2NLP	144	36	60	17	0.4167
2NLD	72	36	30	17	0.4167
2NLH	144	36	60	17	0.4167
1KJ5	36	36	15	17	0.4167
2NLQ	144	36	60	17	0.4167
2NLE	72	36	30	17	0.4167
2NLB	144	36	60	17	0.4167
2NLS	36	36	15	17	0.4167
2NLF	72	36	30	17	0.4167
2PLZ	36	36	15	17	0.4167
2NLC	144	36	60	17	0.4167
1E4S	36	36	15	17	0.4167
3RZJ	197	197	82	91	0.4162
3BUC	197	197	82	91	0.4162
3RZK	197	197	82	91	0.4162
3BTY	197	197	82	91	0.4162
3RZH	197	197	82	91	0.4162
2OLZ	298	50	124	24	0.4161
4GBL	101	51	42	24	0.4158
3Q6E	101	51	42	24	0.4158
4GBC	101	51	42	24	0.4158
4GBN	101	51	42	24	0.4158
1ZNJ	303	51	126	24	0.4158
4GBI	101	51	42	24	0.4158
4GBK	101	51	42	24	0.4158
2RN5	53	53	22	25	0.4151
2KXK	53	53	22	25	0.4151
1AV1	800	200	332	103	0.4150
2PZE	376	201	156	93	0.4149
2WS6	282	50	117	24	0.4149
4AJZ	99	50	41	24	0.4141
1OS3	99	50	41	24	0.4141
1W8P	297	50	123	24	0.4141
4AJX	297	50	123	24	0.4141
2VJZ	99	50	41	24	0.4141
1HIS	46	46	19	22	0.4130
2WS0	46	46	19	22	0.4130
2VK0	97	49	40	23	0.4124
2OLY	296	50	122	24	0.4122
1QIZ	306	51	126	24	0.4118
1ZEH	102	51	42	24	0.4118
3KQ6	102	51	42	24	0.4118
4F1A	102	51	42	24	0.4118
4F4T	102	51	42	24	0.4118
3EXX	102	51	42	24	0.4118
3ILG	102	51	42	24	0.4118
2JV1	51	51	21	24	0.4118
4EYP	102	51	42	24	0.4118
2R36	102	51	42	24	0.4118
2H67	51	51	21	24	0.4118
2JMN	51	51	21	24	0.4118
1GUJ	102	51	42	24	0.4118
1HLS	51	51	21	24	0.4118
3W7Y	102	51	42	24	0.4118
2HHO	51	51	21	24	0.4118
4EX0	102	51	42	24	0.4118
3I40	51	51	21	24	0.4118
1XGL	51	51	21	24	0.4118
1HIT	51	51	21	24	0.4118
1MHI	51	51	21	24	0.4118
4F1B	102	51	42	24	0.4118
2M2M	51	51	21	24	0.4118
4F0N	102	51	42	24	0.4118
4EWW	102	51	42	24	0.4118
1VKT	51	51	21	24	0.4118
4FKA	102	51	42	24	0.4118
4EYD	102	51	42	24	0.4118
4F1F	102	51	42	24	0.4118
3BRR	102	51	42	24	0.4118
3W7Z	102	51	42	24	0.4118
4EY1	102	51	42	24	0.4118
4EX1	102	51	42	24	0.4118
2QIU	102	51	42	24	0.4118
4F8F	102	51	42	24	0.4118
2L1Z	51	51	21	24	0.4118
1SF1	51	51	21	24	0.4118
4FG3	102	51	42	24	0.4118
1B9E	102	51	42	24	0.4118
4F1C	102	51	42	24	0.4118
2M2N	51	51	21	24	0.4118
3INC	102	51	42	24	0.4118
2K91	51	51	21	24	0.4118
1LPH	102	51	42	24	0.4118
4EXX	102	51	42	24	0.4118
4F0O	102	51	42	24	0.4118
4F4V	102	51	42	24	0.4118
2M1E	51	51	21	24	0.4118
3TT8	102	51	42	24	0.4118
3P33	204	51	84	24	0.4118
4IUZ	51	51	21	24	0.4118
4EWX	102	51	42	24	0.4118
1JCO	51	51	21	24	0.4118
3V19	102	51	42	24	0.4118
1QIY	306	51	126	24	0.4118
4F1G	102	51	42	24	0.4118
1ZEG	102	51	42	24	0.4118
1HIQ	51	51	21	24	0.4118
3W80	204	51	84	24	0.4118
2KJJ	51	51	21	24	0.4118
1AI0	306	51	126	24	0.4118
4EYN	102	51	42	24	0.4118
2HIU	51	51	21	24	0.4118
4EY9	102	51	42	24	0.4118
4F1D	102	51	42	24	0.4118
3IR0	612	51	252	24	0.4118
4F51	102	51	42	24	0.4118
1AIY	306	51	126	24	0.4118
4EWZ	102	51	42	24	0.4118
3I3Z	51	51	21	24	0.4118
1I3D	292	146	120	71	0.4110
1I3E	292	146	120	71	0.4110
3BTZ	202	202	83	92	0.4109
2OMI	297	51	122	24	0.4108
1TYL	100	51	41	24	0.4100
1QJ0	100	51	41	24	0.4100
1TYM	100	51	41	24	0.4100
2R35	100	51	41	24	0.4100
3H8R	203	203	83	92	0.4089
3BU0	203	203	83	92	0.4089
3S57	203	203	83	92	0.4089
3H8X	203	203	83	92	0.4089
3BTX	203	203	83	92	0.4089
3RZG	203	203	83	92	0.4089
3H8O	203	203	83	92	0.4089
3S5A	203	203	83	92	0.4089
2PZF	367	206	150	91	0.4087
2C8R	49	49	20	23	0.4082
3P2X	98	49	40	23	0.4082
1HUI	49	49	20	23	0.4082
2HH4	49	49	20	23	0.4082
2OMH	147	49	60	23	0.4082
2KQQ	49	49	20	23	0.4082
3ZU1	98	49	40	23	0.4082
1UZ9	49	49	20	23	0.4082
4EFX	98	49	40	23	0.4082
1OS4	294	50	120	24	0.4082
2OMG	147	49	60	23	0.4082
2PZG	367	198	149	91	0.4060
1HTV	264	52	107	24	0.4053
2BBO	220	220	89	99	0.4045
1XMJ	208	208	84	94	0.4038
1XMI	1229	281	492	125	0.4003
2WRV	45	45	18	21	0.4000
1IOH	50	50	20	23	0.4000
2WRW	45	45	18	21	0.4000
2CEU	90	45	36	21	0.4000
1MHJ	50	50	20	23	0.4000
2WRU	45	45	18	21	0.4000
1IOG	50	50	20	23	0.4000
3ZS2	275	48	109	22	0.3964
2BBS	410	232	161	100	0.3927
2WS1	46	46	18	21	0.3913
2WS4	46	45	18	21	0.3913
2WRX	92	46	36	21	0.3913
2BBT	453	243	176	105	0.3885
2M2P	49	49	19	21	0.3878
2K9R	49	48	19	21	0.3878
2M2O	49	49	19	21	0.3878
3ROV	282	47	108	21	0.3830
2L1Y	47	47	18	21	0.3830
3ZQR	282	48	108	22	0.3830
2W44	136	46	52	20	0.3824
2WS7	252	46	96	22	0.3810
1OEI	24	24	9	11	0.3750
2A01	729	243	273	112	0.3745
3K2S	486	243	182	112	0.3745
1EFE	60	60	22	25	0.3667
3ZI3	41	41	15	17	0.3659
1AQD	1459	367	532	236	0.3646
3L6F	368	368	134	237	0.3641
1KF9	680	192	247	79	0.3632
3QXA	738	369	268	237	0.3631
3QXD	734	367	266	236	0.3624
1DLH	736	368	266	236	0.3614
1BX2	740	371	267	238	0.3608
1JM7	200	200	72	115	0.3600
3PDO	374	374	134	237	0.3583
2WBJ	715	366	256	236	0.3580
2IAN	1440	368	514	236	0.3569
3PGD	713	357	254	227	0.3562
4AEN	352	352	125	225	0.3551
3PGC	703	354	248	225	0.3528
2IAM	353	353	124	223	0.3513
3PL6	180	180	63	80	0.3500
4E41	696	350	243	222	0.3491
1YMM	351	351	122	221	0.3476
3R2P	180	180	62	78	0.3444
2AEW	346	189	119	78	0.3439
3RBN	441	240	149	113	0.3379
3THX	817	817	273	353	0.3341
3THZ	856	856	285	366	0.3329
3THW	860	860	285	366	0.3314
3THY	848	848	281	362	0.3314
2PRT	115	115	38	48	0.3304
2FN4	173	173	57	61	0.3295
3U30	292	292	95	102	0.3253
2JP9	118	118	38	48	0.3220
2JPA	118	118	38	48	0.3220
2EEL	84	84	27	28	0.3214
2ZW3	1116	186	354	71	0.3172
2WL1	191	191	60	73	0.3141
2KQP	86	86	27	30	0.3140
3IZ1	510	170	159	63	0.3118
3IZ2	510	170	159	63	0.3118
1QAB	816	305	253	88	0.3100
2WQA	814	297	250	86	0.3071
1HWG	539	366	164	116	0.3043
2JYU	67	67	20	22	0.2985
3HJX	92	92	27	32	0.2935
3HEQ	198	101	58	34	0.2929
1AXI	338	338	99	115	0.2929
3HHR	558	374	163	116	0.2921
2XWD	972	487	283	189	0.2912
2WKL	990	497	288	191	0.2909
2V3E	992	497	288	191	0.2903
3RIL	1984	497	576	191	0.2903
2V3D	986	497	286	191	0.2901
2V3F	976	491	283	189	0.2900
2XWE	990	497	287	191	0.2899
2NT1	1988	497	576	191	0.2897
1OGS	994	497	288	191	0.2897
3KE0	994	497	288	191	0.2897
2J25	994	497	288	191	0.2897
3GXM	1988	497	576	191	0.2897
3RIK	1988	497	576	191	0.2897
3GXF	1988	497	576	191	0.2897
2NSX	1988	497	576	191	0.2897
3KEH	994	497	288	191	0.2897
3GXI	1988	497	576	191	0.2897
1Y7V	994	497	288	191	0.2897
2NT0	1988	497	576	191	0.2897
3GXD	1988	497	576	191	0.2897
1E1P	104	104	30	35	0.2885
1HJM	104	104	30	35	0.2885
1E1W	104	104	30	35	0.2885
1QM1	104	104	30	35	0.2885
1E1S	104	104	30	35	0.2885
1QLX	104	104	30	35	0.2885
1HJN	104	104	30	35	0.2885
1QM2	104	104	30	35	0.2885
1E1G	104	104	30	35	0.2885
1E1U	104	104	30	35	0.2885
1QLZ	104	104	30	35	0.2885
1QM3	104	104	30	35	0.2885
1E1J	104	104	30	35	0.2885
1QM0	104	104	30	35	0.2885
1NCF	281	144	81	57	0.2883
1FT4	281	144	81	57	0.2883
3HJ5	203	103	58	34	0.2857
1EXT	317	161	90	64	0.2839
4BCZ	219	110	62	36	0.2831
3QM4	912	464	257	154	0.2818
3HAK	103	103	29	34	0.2816
2O8B	1693	1693	476	599	0.2812
2F9Q	1764	444	496	145	0.2812
3TDA	1816	464	510	154	0.2808
3TBG	1816	464	510	154	0.2808
1FKC	107	107	30	35	0.2804
1FO7	107	107	30	35	0.2804
2K1D	107	107	30	35	0.2804
2O8C	1695	1695	475	598	0.2802
2O8D	1695	1695	475	598	0.2802
2O8E	1689	1689	472	594	0.2795
2O8F	1701	1701	474	597	0.2787
4BD4	903	110	250	36	0.2769
1HWH	365	365	100	116	0.2740
3HAF	106	106	29	34	0.2736
3S5L	1084	546	296	251	0.2731
1H0L	110	110	30	35	0.2727
3HES	181	94	49	29	0.2707
1A22	348	348	94	109	0.2701
2BIN	171	171	46	59	0.2690
1I4M	108	108	29	34	0.2685
3HER	180	93	48	28	0.2667
1LY7	120	120	32	37	0.2667
3D05	173	173	46	60	0.2659
3D06	166	166	44	58	0.2651
3S5D	121	121	32	37	0.2645
3T3L	121	121	32	37	0.2645
2EBZ	148	148	39	43	0.2635
3T3X	243	122	64	37	0.2634
3T3K	122	122	32	37	0.2623
1XUT	42	42	11	13	0.2619
3S5F	245	125	64	38	0.2612
2IV5	23	23	6	8	0.2609
2IV6	23	23	6	8	0.2609
1EKG	119	119	31	36	0.2605
3T3J	123	123	32	37	0.2602
2BIO	178	178	46	59	0.2584
3T3T	480	120	124	36	0.2583
3NA3	287	287	74	83	0.2578
3V5B	74	74	19	21	0.2568
1X8Y	74	74	19	21	0.2568
3V4Q	74	74	19	21	0.2568
3V4W	74	74	19	21	0.2568
3S5E	121	121	31	36	0.2562
3S4M	121	121	31	36	0.2562
2WGX	391	196	100	64	0.2558
2J21	365	184	93	61	0.2548
3D08	173	173	44	58	0.2543
2J1X	390	196	99	64	0.2538
2ATA	790	199	200	64	0.2532
3I84	158	86	40	21	0.2532
2AHI	786	200	199	65	0.2532
4AGM	395	199	100	64	0.2532
2AC0	790	200	200	65	0.2532
4AGO	392	198	99	64	0.2526
3IGL	194	194	49	63	0.2526
3ZME	392	197	99	64	0.2526
4LO9	776	194	196	63	0.2526
2OCJ	776	194	196	63	0.2526
4LOE	776	194	196	63	0.2526
3IGK	194	194	49	63	0.2526
4LOF	198	198	50	64	0.2525
2ADY	396	199	100	64	0.2525
