chain	clen	end	method	resolution	start	structid	unp
A	1.0	538.0	x-ray diffraction	2.5	268.0	3HB0	O00167
A	1.0	92.0	solution nmr	-1.0	21.0	2JO1	O00168
A	1.0	325.0	solution nmr	-1.0	2.0	2LKN	O00170
A	1.0	99.0	solution nmr	-1.0	27.0	1EIG	O00175
A	1.0	281.0	x-ray diffraction	3.4	19.0	3UKM	O00180
A	1.0	355.0	x-ray diffraction	1.95	3.0	3WV6	O00182
G	1.0	686.0	x-ray diffraction	3.75	17.0	4FXG	O00187
A	1.0	453.0	x-ray diffraction	1.85	185.0	4MDR	O00189
A	1.0	190.0	x-ray diffraction	2.7	5.0	2F7S	O00194
A	1.0	91.0	solution nmr	-1.0	22.0	2L5B	O00198
A	1.0	311.0	x-ray diffraction	2.5	19.0	1Q22	O00204
A	1.0	627.0	x-ray diffraction	2.45	23.0	3UL9	O00206
A	1.0	193.0	x-ray diffraction	2.5	15.0	2J1L	O00212
A	1.0	667.0	x-ray diffraction	2.2	241.0	3DXD	O00213
A	1.0	359.0	x-ray diffraction	2.55	1.0	4HAN	O00214
A	1.0	532.0	x-ray diffraction	2.05	204.0	3MDY	O00238
A	1.0	154.0	solution nmr	-1.0	32.0	2D9C	O00241
A	1.0	68.0	x-ray diffraction	1.6	1.0	3IWL	O00244
A	1.0	132.0	solution nmr	-1.0	87.0	1HYK	O00253
A	1.0	613.0	x-ray diffraction	1.55	2.0	4GQ6	O00255
A	1.0	65.0	solution nmr	-1.0	8.0	2K28	O00257
G	1.0	790.0	x-ray diffraction	2.42	176.0	4L1U	O00267
A	1.0	920.0	x-ray diffraction	2.3	583.0	1H3O	O00268
A	1.0	307.0	solution nmr	-1.0	12.0	1IYR	O00273
C	1.0	272.0	solution nmr	-1.0	214.0	2KW3	O00287
A	1.0	581.0	x-ray diffraction	2.8	367.0	2NO2	O00291
A	1.0	536.0	x-ray diffraction	1.8	291.0	3C5N	O00294
A	1.0	241.0	x-ray diffraction	2.3	4.0	3TGZ	O00299
Z	1.0	186.0	x-ray diffraction	2.7	26.0	3URF	O00300
A	1.0	92.0	solution nmr	-1.0	50.0	2D46	O00305
A	1.0	865.0	x-ray diffraction	2.51	492.0	4Y07	O00308
A	1.0	572.0	x-ray diffraction	2.5	37.0	4F9B	O00311
A	1.0	128.0	x-ray diffraction	2.4	69.0	4H10	O00327
K	1.0	228.0	x-ray diffraction	2.59	57.0	1ZY8	O00330
A	1.0	296.0	x-ray diffraction	1.8	12.0	3BFX	O00338
A	1.0	544.0	x-ray diffraction	2.7	34.0	4IJ3	O00391
A	1.0	159.0	x-ray diffraction	2.15	8.0	3TV0	O00399
D	1.0	453.0	x-ray diffraction	3.2	207.0	2VCP	O00401
A	1.0	921.0	x-ray diffraction	1.72	223.0	4JIB	O00408
A	1.0	1230.0	x-ray diffraction	2.65	218.0	4BOC	O00411
A	1.0	149.0	solution nmr	-1.0	6.0	2HDE	O00422
A	1.0	834.0	x-ray diffraction	2.6	195.0	4CI8	O00423
A	1.0	161.0	solution nmr	-1.0	73.0	2E44	O00425
A	1.0	736.0	x-ray diffraction	1.9	1.0	3W6O	O00429
A	1.0	1539.0	x-ray diffraction	1.8	1409.0	2AR5	O00443
A	1.0	970.0	x-ray diffraction	2.25	2.0	3COK	O00444
A	1.0	598.0	solution nmr	-1.0	1.0	2KT1	O00459
A	1.0	334.0	x-ray diffraction	3.5	277.0	4XRS	O00470
A	1.0	292.0	solution nmr	-1.0	200.0	2E5N	O00472
A	1.0	242.0	x-ray diffraction	2.38	30.0	4F8T	O00478
A	1.0	513.0	x-ray diffraction	2.04	30.0	4V1P	O00481
A	1.0	541.0	x-ray diffraction	1.9	84.0	4DOR	O00482
A	1.0	112.0	solution nmr	-1.0	46.0	1ZR9	O00488
A	1.0	593.0	solution nmr	-1.0	1.0	2RND	O00499
B	1.0	418.0	x-ray diffraction	3.58	3.0	4NZW	O00506
B	1.0	375.0	x-ray diffraction	1.59	174.0	2VPB	O00512
H	1.0	736.0	x-ray diffraction	2.54	8.0	4DX8	O00522
A	1.0	414.0	solution nmr	-1.0	322.0	2EP8	O00541
B	1.0	442.0	x-ray diffraction	3.2	22.0	4XBM	O00548
B	1.0	1972.0	x-ray diffraction	2.55	1954.0	3BXK	O00555
A	1.0	273.0	x-ray diffraction	0.73	113.0	1R6J	O00560
C	1.0	580.0	x-ray diffraction	2.31	81.0	4PX9	O00571
A	1.0	252.0	x-ray diffraction	1.59	34.0	3T0O	O00584
A	1.0	93.0	solution nmr	-1.0	24.0	2L4N	O00585
F	1.0	326.0	x-ray diffraction	1.75	110.0	2JHK	O00602
A	1.0	290.0	x-ray diffraction	2.1	3.0	1J1L	O00625
A	1.0	487.0	x-ray diffraction	2.7	71.0	4UAE	O00629
A	1.0	31.0	solution nmr	-1.0	1.0	1JDM	O00631
A	1.0	175.0	x-ray diffraction	2.4	34.0	1EHW	O00746
B	1.0	206.0	x-ray diffraction	1.5	206.0	4UZQ	O00755
A	1.0	338.0	x-ray diffraction	1.97	8.0	3IFC	O00757
A	1.0	175.0	x-ray diffraction	1.95	29.0	1I7K	O00762
A	1.0	2450.0	x-ray diffraction	2.41	220.0	3TDC	O00763
A	1.0	312.0	x-ray diffraction	2.2	1.0	2YXU	O00764
A	1.0	350.0	x-ray diffraction	3.25	53.0	4ZYO	O00767
A	1.0	1119.0	solution nmr	-1.0	1000.0	1RYU	O14497
M	1.0	198.0	x-ray diffraction	2.9	32.0	5BO4	O14508
A	1.0	115.0	solution nmr	-1.0	61.0	2KW6	O14519
A	1.0	1149.0	x-ray diffraction	1.8	871.0	2OOQ	O14522
A	1.0	1125.0	solution nmr	-1.0	544.0	1WH8	O14529
A	1.0	496.0	x-ray diffraction	1.45	361.0	2VIF	O14544
A	1.0	139.0	solution nmr	-1.0	78.0	2D9K	O14545
O	1.0	407.0	x-ray diffraction	1.72	74.0	3H9E	O14556
A	1.0	154.0	x-ray diffraction	2.2	58.0	4JUT	O14558
A	1.0	156.0	solution nmr	-1.0	71.0	2DNW	O14561
A	1.0	253.0	x-ray diffraction	1.78	91.0	4QQM	O14593
A	1.0	270.0	x-ray diffraction	2.51	89.0	2Q5E	O14595
A	1.0	1390.0	x-ray diffraction	1.8	925.0	3ZLI	O14607
A	1.0	729.0	x-ray diffraction	2.8	696.0	4AFI	O14617
A	1.0	237.0	x-ray diffraction	2.75	1.0	1DO5	O14618
A	1.0	94.0	solution nmr	-1.0	22.0	1RJT	O14625
A	1.0	355.0	x-ray diffraction	1.7	12.0	3CBX	O14641
A	1.0	1327.0	x-ray diffraction	1.87	268.0	4O42	O14646
C	1.0	121.0	x-ray diffraction	3.0	116.0	3EG9	O14653
A	1.0	152.0	x-ray diffraction	1.41	5.0	4YL3	O14684
D	1.0	5536.0	x-ray diffraction	1.91	5333.0	4ERQ	O14686
A	1.0	196.0	x-ray diffraction	2.54	55.0	4DX8	O14713
A	1.0	391.0	x-ray diffraction	1.8	2.0	1G55	O14717
A	1.0	586.0	solution nmr	-1.0	1.0	1C15	O14727
A	1.0	283.0	x-ray diffraction	2.4	15.0	2FVZ	O14732
A	1.0	418.0	x-ray diffraction	3.01	37.0	3WZU	O14733
A	1.0	113.0	solution nmr	-1.0	1.0	2CRU	O14737
A	1.0	637.0	x-ray diffraction	2.06	13.0	4GQB	O14744
A	1.0	358.0	x-ray diffraction	1.5	11.0	1G9O	O14745
B	1.0	240.0	x-ray diffraction	2.52	222.0	4B18	O14746
A	1.0	281.0	x-ray diffraction	2.5	1.0	2E9N	O14757
R	1.0	184.0	x-ray diffraction	2.32	69.0	2H9G	O14763
A	1.0	342.0	x-ray diffraction	1.6	281.0	4XRM	O14770
A	1.0	563.0	x-ray diffraction	1.85	20.0	3EDY	O14773
A	1.0	1080.0	solution nmr	-1.0	101.0	2MWE	O14776
A	1.0	195.0	x-ray diffraction	1.8	82.0	2IGP	O14777
A	1.0	381.0	x-ray diffraction	2.7	7.0	3B6V	O14782
A	1.0	586.0	x-ray diffraction	2.2	145.0	2QQN	O14786
A	1.0	317.0	x-ray diffraction	2.8	162.0	5BNQ	O14788
A	1.0	307.0	x-ray diffraction	2.1	45.0	1ZRH	O14792
E	1.0	202.0	x-ray diffraction	3.5	26.0	3RK3	O14810
A	1.0	337.0	x-ray diffraction	2.5	19.0	2P0R	O14815
A	1.0	338.0	x-ray diffraction	2.5	43.0	2A1X	O14832
R	1.0	109.0	x-ray diffraction	1.9	68.0	1XU1	O14836
A	1.0	340.0	x-ray diffraction	2.5	1.0	3RN5	O14862
A	1.0	127.0	x-ray diffraction	2.44	7.0	2IHC	O14867
2	1.0	280.0	x-ray diffraction	2.5	22.0	3S6N	O14893
A	1.0	124.0	x-ray diffraction	2.8	1.0	3GJ9	O14907
A	1.0	665.0	x-ray diffraction	2.83	2.0	4KIK	O14920
A	1.0	852.0	solution nmr	-1.0	18.0	2EBZ	O14924
A	1.0	341.0	x-ray diffraction	1.9	20.0	2P0W	O14929
B	1.0	130.0	x-ray diffraction	1.84	18.0	3NOI	O14931
A	1.0	152.0	x-ray diffraction	2.4	3.0	1WZW	O14933
A	1.0	914.0	x-ray diffraction	2.19	1.0	3C0G	O14936
A	1.0	108.0	solution nmr	-1.0	63.0	1K36	O14944
A	1.0	370.0	x-ray diffraction	3.8	22.0	2VAF	O14958
P	1.0	501.0	x-ray diffraction	1.7	6.0	2D3G	O14964
A	1.0	395.0	x-ray diffraction	1.9	123.0	4UYN	O14965
A	1.0	975.0	solution nmr	-1.0	658.0	2KJY	O14974
A	1.0	337.0	x-ray diffraction	2.1	25.0	4Y8D	O14976
A	1.0	432.0	x-ray diffraction	5.81	10.0	4ZGZ	O14977
B	1.0	1062.0	solution nmr	-1.0	3.0	2L1L	O14980
A	1.0	397.0	x-ray diffraction	1.9	90.0	2P0A	O14994
A	1.0	2328.0	solution nmr	-1.0	178.0	1WYQ	O15020
A	1.0	1042.0	x-ray diffraction	1.6	951.0	2W7R	O15021
A	1.0	1561.0	x-ray diffraction	2.26	1459.0	4E71	O15031
A	1.0	1017.0	solution nmr	-1.0	160.0	2CSP	O15034
C	1.0	1500.0	x-ray diffraction	1.5	89.0	4EWR	O15047
A	1.0	1638.0	x-ray diffraction	1.8	1177.0	2XXZ	O15054
A	1.0	963.0	solution nmr	-1.0	882.0	1UFW	O15056
A	1.0	358.0	x-ray diffraction	1.8	7.0	3B6U	O15066
A	1.0	156.0	solution nmr	-1.0	49.0	1UF0	O15075
A	1.0	1122.0	x-ray diffraction	2.5	44.0	1XCG	O15085
A	1.0	582.0	x-ray diffraction	1.8	207.0	4XGL	O15091
B	1.0	217.0	solution nmr	-1.0	203.0	2LTW	O15105
A	1.0	811.0	solution nmr	-1.0	486.0	1RI9	O15117
A	1.0	247.0	x-ray diffraction	1.81	23.0	3GKH	O15118
A	1.0	305.0	x-ray diffraction	1.7	101.0	1H6F	O15119
A	1.0	496.0	x-ray diffraction	2.27	278.0	4ZFG	O15123
D	1.0	506.0	x-ray diffraction	3.15	332.0	4U2X	O15131
B	1.0	490.0	x-ray diffraction	2.3	23.0	2VJF	O15151
P	1.0	266.0	x-ray diffraction	2.2	257.0	1Y2A	O15162
A	1.0	1012.0	x-ray diffraction	1.76	824.0	3O35	O15164
B	1.0	401.0	x-ray diffraction	2.3	74.0	4NM7	O15169
A	1.0	264.0	x-ray diffraction	2.1	82.0	2HHL	O15194
A	1.0	82.0	solution nmr	-1.0	8.0	2MBE	O15205
A	1.0	222.0	x-ray diffraction	2.7	2.0	1GUL	O15217
D	1.0	249.0	x-ray diffraction	2.3	167.0	3EX7	O15234
A	1.0	247.0	x-ray diffraction	1.86	10.0	2R5G	O15247
A	1.0	212.0	solution nmr	-1.0	153.0	1S1N	O15259
A	1.0	64.0	solution nmr	-1.0	24.0	1FQQ	O15263
A	1.0	351.0	x-ray diffraction	1.7	2.0	4YNO	O15264
A	1.0	397.0	solution nmr	-1.0	339.0	2KKR	O15265
Y	1.0	89.0	x-ray diffraction	2.75	1.0	2F8V	O15273
A	1.0	1038.0	x-ray diffraction	2.55	26.0	4N3C	O15294
A	1.0	676.0	x-ray diffraction	2.63	2.0	4NRE	O15296
A	1.0	246.0	x-ray diffraction	2.09	4.0	2AMY	O15305
A	1.0	214.0	solution nmr	-1.0	87.0	2FFW	O15344
A	1.0	164.0	solution nmr	-1.0	1.0	2EQZ	O15347
A	1.0	554.0	x-ray diffraction	2.0	10.0	2WQJ	O15350
A	1.0	1258.0	x-ray diffraction	2.1	20.0	4A9C	O15357
A	1.0	370.0	x-ray diffraction	2.06	2.0	4A69	O15379
A	1.0	839.0	x-ray diffraction	2.6	583.0	2X8A	O15381
A	1.0	392.0	x-ray diffraction	1.9	28.0	1KT8	O15382
A	1.0	233.0	x-ray diffraction	2.85	20.0	2ZG2	O15389
A	1.0	119.0	x-ray diffraction	3.3	1.0	2RAX	O15392
A	1.0	693.0	x-ray diffraction	2.51	19.0	2XYC	O15394
F	1.0	609.0	x-ray diffraction	2.7	1.0	2AS5	O15409
A	1.0	179.0	solution nmr	-1.0	64.0	2LS2	O15431
A	1.0	730.0	solution nmr	-1.0	26.0	2MKA	O15455
B	1.0	300.0	x-ray diffraction	1.93	35.0	4UEG	O15488
B	1.0	188.0	x-ray diffraction	2.71	53.0	2IK8	O15492
B	1.0	165.0	x-ray diffraction	1.97	43.0	1LE6	O15496
A	1.0	142.0	x-ray diffraction	2.7	14.0	2C35	O15514
B	1.0	89.0	x-ray diffraction	2.4	31.0	4H10	O15516
A	1.0	480.0	x-ray diffraction	1.9	237.0	3H11	O15519
A	1.0	207.0	x-ray diffraction	2.9	69.0	1NUN	O15520
A	1.0	325.0	x-ray diffraction	2.2	10.0	1N39	O15527
A	1.0	556.0	x-ray diffraction	2.5	51.0	1UU8	O15530
B	1.0	401.0	x-ray diffraction	2.6	21.0	3F8U	O15533
A	1.0	184.0	solution nmr	-1.0	44.0	2CRP	O15539
A	1.0	132.0	x-ray diffraction	2.8	2.0	1FE3	O15540
A	1.0	1395.0	x-ray diffraction	1.8	886.0	3AVR	O15550
A	1.0	781.0	x-ray diffraction	1.35	4.0	2WL1	O15553
A	1.0	476.0	x-ray diffraction	2.3	168.0	3BGV	O43148
X	1.0	2135.0	x-ray diffraction	3.2	23.0	3SU8	O43157
A	1.0	454.0	x-ray diffraction	2.0	243.0	2ZFU	O43159
A	1.0	102.0	x-ray diffraction	1.45	17.0	3NER	O43169
B	1.0	137.0	x-ray diffraction	2.0	107.0	1MZW	O43172
A	1.0	380.0	x-ray diffraction	1.85	88.0	5BO7	O43173
A	1.0	307.0	x-ray diffraction	1.7	6.0	2G76	O43175
N	1.0	94.0	x-ray diffraction	3.4	2.0	3MOP	O43187
A	1.0	85.0	solution nmr	-1.0	6.0	2E5P	O43189
A	1.0	263.0	solution nmr	-1.0	174.0	2CQ3	O43251
A	1.0	624.0	x-ray diffraction	1.9	24.0	2OFX	O43252
B	1.0	307.0	x-ray diffraction	2.45	47.0	4ISN	O43278
C	1.0	135.0	x-ray diffraction	2.0	118.0	4PYU	O43290
X	1.0	88.0	x-ray diffraction	1.65	35.0	4U32	O43291
A	1.0	284.0	x-ray diffraction	1.7	2.0	5A6N	O43293
A	1.0	466.0	solution nmr	-1.0	370.0	2CSH	O43298
A	1.0	75.0	solution nmr	-1.0	7.0	2YSQ	O43307
C	1.0	757.0	x-ray diffraction	2.5	729.0	2D1K	O43312
A	1.0	366.0	x-ray diffraction	1.9	37.0	4HN2	O43314
A	1.0	412.0	x-ray diffraction	2.0	31.0	2EVA	O43318
B	1.0	194.0	x-ray diffraction	1.9	39.0	3N1G	O43323
B	1.0	170.0	x-ray diffraction	1.89	1.0	4BL7	O43324
A	1.0	316.0	x-ray diffraction	2.44	4.0	5AR2	O43353
A	1.0	419.0	solution nmr	-1.0	336.0	2DK2	O43390
A	1.0	79.0	solution nmr	-1.0	1.0	1X4Q	O43395
A	1.0	279.0	x-ray diffraction	2.22	2.0	1GH2	O43396
A	1.0	124.0	solution nmr	-1.0	28.0	1JBI	O43405
A	1.0	336.0	x-ray diffraction	2.15	137.0	2XRI	O43414
A	1.0	971.0	solution nmr	-1.0	894.0	2DNR	O43426
A	1.0	986.0	x-ray diffraction	2.37	745.0	1HU3	O43432
B	1.0	297.0	x-ray diffraction	2.58	109.0	4A04	O43435
A	1.0	177.0	x-ray diffraction	2.0	5.0	1MZW	O43447
B	1.0	1849.0	x-ray diffraction	2.88	93.0	3TOP	O43451
A	1.0	115.0	x-ray diffraction	2.2	55.0	3MTS	O43463
A	1.0	458.0	x-ray diffraction	2.75	139.0	2PZD	O43464
A	1.0	359.0	x-ray diffraction	2.4	37.0	2BP1	O43488
A	1.0	91.0	x-ray diffraction	2.08	1.0	3MS6	O43504
T	1.0	249.0	x-ray diffraction	2.5	105.0	4HT1	O43508
C	1.0	60.0	x-ray diffraction	2.6	29.0	2A41	O43516
B	1.0	166.0	x-ray diffraction	1.8	108.0	2YQ6	O43521
B	1.0	635.0	solution nmr	-1.0	151.0	2LQH	O43524
A	1.0	240.0	x-ray diffraction	2.78	91.0	4KGG	O43557
A	1.0	146.0	solution nmr	-1.0	8.0	2YS5	O43559
C	1.0	532.0	x-ray diffraction	3.41	56.0	2XNS	O43566
A	1.0	291.0	x-ray diffraction	1.45	31.0	4KP5	O43570
C	1.0	662.0	x-ray diffraction	2.29	628.0	3IM4	O43572
A	1.0	334.0	solution nmr	-1.0	207.0	2D8K	O43581
A	1.0	416.0	solution nmr	-1.0	361.0	2DIL	O43586
A	1.0	60.0	x-ray diffraction	2.0	50.0	3BUM	O43597
A	1.0	162.0	x-ray diffraction	1.35	20.0	4P5E	O43598
A	1.0	231.0	x-ray diffraction	2.2	126.0	2BQQ	O43602
A	1.0	97.0	solution nmr	-1.0	34.0	1R02	O43612
A	1.0	381.0	x-ray diffraction	2.5	50.0	4S0V	O43614
A	1.0	451.0	x-ray diffraction	1.9	270.0	2CW9	O43615
A	1.0	176.0	x-ray diffraction	2.2	13.0	2C0J	O43617
A	1.0	380.0	solution nmr	-1.0	1.0	1U5S	O43639
A	1.0	492.0	x-ray diffraction	1.7	190.0	4YVD	O43660
A	1.0	466.0	x-ray diffraction	2.0	2.0	3NRY	O43663
A	1.0	166.0	solution nmr	-1.0	30.0	2I59	O43665
A	1.0	99.0	solution nmr	-1.0	15.0	1S3A	O43678
A	1.0	1083.0	x-ray diffraction	2.6	1.0	4A1G	O43683
A	1.0	296.0	x-ray diffraction	2.1	1.0	2Z5F	O43704
B	1.0	757.0	x-ray diffraction	1.8	47.0	1YDI	O43707
A	1.0	354.0	solution nmr	-1.0	256.0	2DIT	O43719
B	1.0	397.0	x-ray diffraction	1.85	255.0	4KAX	O43739
A	1.0	272.0	x-ray diffraction	2.0	75.0	2F15	O43741
A	1.0	196.0	x-ray diffraction	2.7	11.0	2BEC	O43745
A	1.0	825.0	x-ray diffraction	1.8	703.0	1IU1	O43747
D	1.0	232.0	x-ray diffraction	2.5	3.0	2NPS	O43752
A	1.0	216.0	x-ray diffraction	1.54	164.0	3A03	O43763
A	1.0	210.0	solution nmr	-1.0	1.0	4CPG	O43765
A	1.0	359.0	x-ray diffraction	2.4	28.0	4EOZ	O43791
A	1.0	227.0	x-ray diffraction	2.07	18.0	3MDI	O43809
A	1.0	399.0	x-ray diffraction	2.6	1.0	3E6U	O43813
A	1.0	465.0	x-ray diffraction	1.7	130.0	4J0W	O43818
A	1.0	266.0	solution nmr	-1.0	100.0	2RLI	O43819
A	1.0	157.0	x-ray diffraction	2.6	26.0	4D90	O43854
A	1.0	530.0	x-ray diffraction	2.64	101.0	3MTG	O43865
A	1.0	599.0	x-ray diffraction	2.6	498.0	2G1L	O43896
A	1.0	348.0	x-ray diffraction	1.4	148.0	3EDI	O43897
A	1.0	67.0	solution nmr	-1.0	35.0	2L35	O43914
A	1.0	194.0	x-ray diffraction	2.9	92.0	2XV7	O43915
A	1.0	485.0	solution nmr	-1.0	293.0	2KFT	O43918
B	1.0	173.0	x-ray diffraction	2.35	33.0	2WO3	O43921
B	1.0	150.0	x-ray diffraction	2.3	2.0	1KSG	O43924
A	1.0	101.0	x-ray diffraction	1.95	23.0	4ZAI	O43927
B	1.0	396.0	x-ray diffraction	3.05	321.0	4PJU	O60216
X	1.0	316.0	x-ray diffraction	1.25	1.0	1ZUA	O60218
A	1.0	140.0	x-ray diffraction	1.9	7.0	3L50	O60234
B	1.0	350.0	x-ray diffraction	2.08	341.0	4H3B	O60239
A	1.0	866.0	x-ray diffraction	2.3	501.0	4DLO	O60242
A	1.0	413.0	solution nmr	-1.0	302.0	2YST	O60245
A	1.0	368.0	x-ray diffraction	2.55	19.0	2JI4	O60256
A	1.0	465.0	x-ray diffraction	2.37	1.0	5C23	O60260
C	1.0	466.0	x-ray diffraction	1.93	406.0	2W83	O60271
A	1.0	2153.0	solution nmr	-1.0	2094.0	1X3C	O60281
A	1.0	906.0	solution nmr	-1.0	812.0	2CS8	O60284
A	1.0	1381.0	x-ray diffraction	2.3	19.0	4PJ3	O60306
A	1.0	1040.0	x-ray diffraction	1.2	181.0	3KHF	O60307
A	1.0	1235.0	x-ray diffraction	2.1	1163.0	4DHX	O60318
P	1.0	653.0	x-ray diffraction	2.6	639.0	3H85	O60331
A	1.0	647.0	solution nmr	-1.0	531.0	2EH0	O60333
A	1.0	860.0	x-ray diffraction	3.0	169.0	3ZMZ	O60341
A	1.0	1168.0	x-ray diffraction	3.5	874.0	3QYB	O60343
A	1.0	225.0	x-ray diffraction	1.3	19.0	2PXX	O60344
A	1.0	503.0	x-ray diffraction	2.04	206.0	3QVE	O60381
A	1.0	1754.0	x-ray diffraction	2.64	1655.0	4Q28	O60437
A	1.0	595.0	x-ray diffraction	1.95	26.0	2QQJ	O60462
G	1.0	186.0	x-ray diffraction	3.5	131.0	4XRS	O60479
A	1.0	386.0	solution nmr	-1.0	245.0	2RPC	O60481
B	1.0	1305.0	x-ray diffraction	2.26	35.0	3NVN	O60486
A	1.0	150.0	x-ray diffraction	2.6	24.0	2YPS	O60493
B	1.0	1388.0	x-ray diffraction	3.3	932.0	3KQ4	O60494
A	1.0	247.0	solution nmr	-1.0	1.0	2DLW	O60496
A	1.0	108.0	x-ray diffraction	1.4	5.0	4DND	O60499
B	1.0	1195.0	x-ray diffraction	1.74	1190.0	4ZRT	O60500
T	1.0	408.0	x-ray diffraction	2.6	402.0	2YDQ	O60502
A	1.0	671.0	solution nmr	-1.0	383.0	2DLM	O60504
A	1.0	423.0	solution nmr	-1.0	24.0	2MXT	O60506
A	1.0	110.0	solution nmr	-1.0	33.0	2EEL	O60543
A	1.0	369.0	x-ray diffraction	1.84	23.0	1T2A	O60547
A	1.0	498.0	x-ray diffraction	2.33	112.0	4C2X	O60551
D	1.0	263.0	x-ray diffraction	2.94	5.0	4IMY	O60563
C	1.0	234.0	x-ray diffraction	2.44	23.0	4GGD	O60566
A	1.0	234.0	x-ray diffraction	2.4	45.0	2JGC	O60573
A	1.0	263.0	x-ray diffraction	1.8	7.0	2IVX	O60583
A	1.0	784.0	x-ray diffraction	2.1	27.0	2Z7X	O60603
A	1.0	357.0	x-ray diffraction	1.92	158.0	2GH0	O60609
A	1.0	819.0	x-ray diffraction	1.9	482.0	3ECM	O60658
B	1.0	276.0	x-ray diffraction	2.9	13.0	3G65	O60671
Z	1.0	1895.0	x-ray diffraction	2.6	1873.0	3ABE	O60673
A	1.0	1132.0	x-ray diffraction	1.95	536.0	5AEP	O60674
A	1.0	531.0	x-ray diffraction	2.08	221.0	4QQN	O60678
A	1.0	504.0	x-ray diffraction	2.42	80.0	4UAD	O60684
A	1.0	466.0	x-ray diffraction	2.8	1.0	3TDK	O60701
A	1.0	353.0	x-ray diffraction	2.4	51.0	3AP2	O60704
A	1.0	331.0	solution nmr	-1.0	265.0	1X3H	O60711
A	1.0	852.0	x-ray diffraction	3.0	358.0	3L6Y	O60716
A	1.0	380.0	x-ray diffraction	2.6	42.0	1OHD	O60729
A	1.0	163.0	x-ray diffraction	2.7	70.0	2Z17	O60759
A	1.0	199.0	x-ray diffraction	1.7	1.0	1IYH	O60760
A	1.0	614.0	x-ray diffraction	2.22	1.0	2W3C	O60763
A	1.0	309.0	x-ray diffraction	1.5	1.0	1ELK	O60784
H	1.0	126.0	x-ray diffraction	2.5	31.0	2CV5	O60814
B	1.0	263.0	x-ray diffraction	2.1	238.0	4BWQ	O60828
A	1.0	159.0	x-ray diffraction	2.0	22.0	3VY6	O60844
A	1.0	111.0	solution nmr	-1.0	1.0	2LX7	O60861
A	1.0	148.0	solution nmr	-1.0	71.0	1X57	O60869
A	1.0	393.0	solution nmr	-1.0	51.0	2V1N	O60870
A	1.0	107.0	x-ray diffraction	1.1	1.0	1D4T	O60880
A	1.0	272.0	solution nmr	-1.0	113.0	2JSD	O60882
A	1.0	460.0	x-ray diffraction	1.37	41.0	3UVW	O60885
C	1.0	189.0	x-ray diffraction	2.05	80.0	2ZFH	O60888
C	1.0	117.0	x-ray diffraction	2.1	24.0	3N7S	O60894
A	1.0	141.0	x-ray diffraction	2.6	61.0	3AQF	O60895
A	1.0	126.0	x-ray diffraction	3.9	52.0	2XTE	O60907
A	1.0	334.0	x-ray diffraction	1.6	114.0	1FH0	O60911
C	1.0	280.0	x-ray diffraction	2.9	1.0	3G65	O60921
A	1.0	286.0	x-ray diffraction	2.1	27.0	3BSU	O60930
A	1.0	157.0	x-ray diffraction	2.4	67.0	4UZ0	O60936
A	1.0	567.0	x-ray diffraction	1.6	1.0	2C46	O60942
C	1.0	193.0	x-ray diffraction	3.2	21.0	1E4K	O75015
A	1.0	402.0	x-ray diffraction	2.1	357.0	4C7N	O75030
A	1.0	1600.0	x-ray diffraction	1.97	1490.0	3Q3J	O75051
