pdbid	transcript	conflicts	perc_conflicts	range_conflicts	perc_range_conflicts	mismatch_conflicts	perc_mistmatch_conflicts
2EN6	ENST00000537565	33	1	33	1	0	0
2ENS	ENST00000441180	78	0.88	0	0	78	0.88
2ENS	ENST00000550562	85	0.96	0	0	85	0.96
2ENS	ENST00000383279	78	0.88	0	0	78	0.88
2ENS	ENST00000551254	85	0.96	0	0	85	0.96
2ENS	ENST00000412470	78	0.88	0	0	78	0.88
2ENS	ENST00000547651	85	0.96	0	0	85	0.96
2ENS	ENST00000441804	78	0.88	0	0	78	0.88
2ENS	ENST00000551827	85	0.96	0	0	85	0.96
2ENS	ENST00000375067	78	0.88	0	0	78	0.88
2ENS	ENST00000438221	85	0.96	0	0	85	0.96
2ENV	ENST00000448077	69	0.92	0	0	69	0.92
3E3E	ENST00000374517	2	0.02	0	0	2	0.02
3E3E	ENST00000374517	2	0.02	0	0	2	0.02
3.00E+37	ENST00000342116	288	0.91	57	0.18	231	0.73
1HBB	ENST00000251595	134	0.95	0	0	134	0.95
1HBB	ENST00000320868	134	0.95	0	0	134	0.95
1HBB	ENST00000335295	135	0.92	0	0	135	0.92
1HBB	ENST00000251595	134	0.95	0	0	134	0.95
1HBB	ENST00000320868	134	0.95	0	0	134	0.95
1HBB	ENST00000335295	135	0.92	0	0	135	0.92
3DA6	ENST00000395169	311	0.95	0	0	311	0.95
3DA6	ENST00000395160	313	0.95	108	0.33	205	0.62
3DA6	ENST00000395166	311	0.95	0	0	311	0.95
3DA9	ENST00000311907	99	0.39	0	0	99	0.39
3DAD	ENST00000258201	2	0.01	0	0	2	0.01
3DAD	ENST00000258201	2	0.01	0	0	2	0.01
3DAB	ENST00000367183	81	0.93	0	0	81	0.93
3DAB	ENST00000367183	79	0.93	0	0	79	0.93
3DAB	ENST00000367183	79	0.93	0	0	79	0.93
3DAB	ENST00000367183	81	0.93	0	0	81	0.93
3DAL	ENST00000369096	158	0.93	0	0	158	0.93
3DAL	ENST00000369089	157	0.93	0	0	157	0.93
3DAL	ENST00000369096	155	0.93	0	0	155	0.93
3DAL	ENST00000369089	154	0.93	0	0	154	0.93
3DAR	ENST00000356226	94	0.95	0	0	94	0.95
3DAR	ENST00000360144	91	0.92	0	0	91	0.92
3DAR	ENST00000357555	87	0.88	0	0	87	0.88
3DAR	ENST00000356226	94	0.95	0	0	94	0.95
3DAR	ENST00000360144	91	0.92	0	0	91	0.92
3DAR	ENST00000357555	87	0.88	0	0	87	0.88
3DAZ	ENST00000285379	127	0.49	1	0	126	0.49
3DAY	ENST00000573854	2	0	0	0	2	0
3DAY	ENST00000219054	2	0	0	0	2	0
3DAY	ENST00000575690	2	0	0	0	2	0
3DAY	ENST00000396104	2	0	0	0	2	0
3M1K	ENST00000285379	126	0.49	0	0	126	0.49
3M1J	ENST00000285379	127	0.49	1	0	126	0.49
1ZTE	ENST00000367055	1	0.01	0	0	1	0.01
1ZTE	ENST00000538183	1	0.01	0	0	1	0.01
1ZTE	ENST00000367054	142	0.72	39	0.2	103	0.52
1ZTE	ENST00000337404	142	0.72	39	0.2	103	0.52
1ZTE	ENST00000367055	1	0.01	0	0	1	0.01
1ZTE	ENST00000538183	1	0.01	0	0	1	0.01
1ZTE	ENST00000367054	142	0.72	39	0.2	103	0.52
1ZTE	ENST00000337404	142	0.72	39	0.2	103	0.52
1ZTE	ENST00000367055	1	0.01	0	0	1	0.01
1ZTE	ENST00000538183	1	0.01	0	0	1	0.01
1ZTE	ENST00000367054	142	0.72	39	0.2	103	0.52
1ZTE	ENST00000337404	142	0.72	39	0.2	103	0.52
1ZTE	ENST00000367055	1	0.01	0	0	1	0.01
1ZTE	ENST00000538183	1	0.01	0	0	1	0.01
1ZTE	ENST00000367054	142	0.72	39	0.2	103	0.52
1ZTE	ENST00000337404	142	0.72	39	0.2	103	0.52
3M1N	ENST00000297261	2	0.01	0	0	2	0.01
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH5	ENST00000430559	139	0.97	19	0.13	120	0.83
1JH4	ENST00000306846	20	0.91	0	0	20	0.91
1JH4	ENST00000436644	20	0.91	0	0	20	0.91
1JHJ	ENST00000507656	1	0.01	0	0	1	0.01
1JHJ	ENST00000451299	1	0.01	0	0	1	0.01
1JHJ	ENST00000309439	1	0.01	0	0	1	0.01
1JHB	ENST00000508780	97	0.92	0	0	97	0.92
1JHB	ENST00000237858	97	0.92	0	0	97	0.92
1JHB	ENST00000379979	97	0.92	0	0	97	0.92
1JHB	ENST00000505427	97	0.92	0	0	97	0.92
1JHB	ENST00000512469	97	0.92	0	0	97	0.92
1JHW	ENST00000263867	207	0.63	0	0	207	0.63
1JHW	ENST00000409670	207	0.63	0	0	207	0.63
1JHW	ENST00000409724	207	0.63	0	0	207	0.63
3KCZ	ENST00000429687	326	0.95	9	0.03	317	0.93
3KCZ	ENST00000250416	1	0	0	0	1	0
3KCZ	ENST00000429687	323	0.95	9	0.03	314	0.93
3KCZ	ENST00000250416	1	0	0	0	1	0
1LGB	ENST00000231751	149	0.94	0	0	149	0.94
1LGB	ENST00000426532	152	0.96	0	0	152	0.96
1LGD	ENST00000285379	117	0.46	0	0	117	0.46
1XGW	ENST00000523094	127	0.93	0	0	127	0.93
1XGW	ENST00000530742	127	0.93	0	0	127	0.93
1XGW	ENST00000296951	127	0.93	0	0	127	0.93
3M14	ENST00000285379	126	0.49	0	0	126	0.49
1LGP	ENST00000443047	10	0.09	0	0	10	0.09
2V90	ENST00000531114	90	0.96	0	0	90	0.96
2V90	ENST00000355547	85	0.9	0	0	85	0.9
2V90	ENST00000322712	3	0.03	0	0	3	0.03
2V90	ENST00000392817	90	0.96	0	0	90	0.96
2V90	ENST00000531114	90	0.96	0	0	90	0.96
2V90	ENST00000355547	85	0.9	0	0	85	0.9
2V90	ENST00000322712	3	0.03	0	0	3	0.03
2V90	ENST00000392817	90	0.96	0	0	90	0.96
2V90	ENST00000531114	89	0.96	0	0	89	0.96
2V90	ENST00000355547	84	0.9	0	0	84	0.9
2V90	ENST00000322712	3	0.03	0	0	3	0.03
2V90	ENST00000392817	89	0.96	0	0	89	0.96
2V90	ENST00000531114	89	0.96	0	0	89	0.96
2V90	ENST00000355547	84	0.9	0	0	84	0.9
2V90	ENST00000322712	3	0.03	0	0	3	0.03
2V90	ENST00000392817	89	0.96	0	0	89	0.96
2V90	ENST00000531114	90	0.96	0	0	90	0.96
2V90	ENST00000355547	85	0.9	0	0	85	0.9
2V90	ENST00000322712	3	0.03	0	0	3	0.03
2V90	ENST00000392817	90	0.96	0	0	90	0.96
2V90	ENST00000531114	90	0.96	0	0	90	0.96
2V90	ENST00000355547	85	0.9	0	0	85	0.9
2V90	ENST00000322712	3	0.03	0	0	3	0.03
2V90	ENST00000392817	90	0.96	0	0	90	0.96
1LGQ	ENST00000443047	9	0.08	0	0	9	0.08
1LGQ	ENST00000443047	9	0.08	0	0	9	0.08
4DVF	ENST00000313005	2	0.01	0	0	2	0.01
4DVF	ENST00000428381	275	0.74	15	0.04	260	0.7
4DVF	ENST00000513780	233	0.62	0	0	233	0.62
4DVF	ENST00000445823	276	0.74	0	0	276	0.74
4DVF	ENST00000313005	2	0.01	0	0	2	0.01
4DVF	ENST00000428381	274	0.73	15	0.04	259	0.69
4DVF	ENST00000513780	232	0.62	0	0	232	0.62
4DVF	ENST00000445823	275	0.74	0	0	275	0.74
4DVA	ENST00000496777	194	0.85	0	0	194	0.85
4DVA	ENST00000372764	194	0.85	0	0	194	0.85
2V9Y	ENST00000361093	313	1	313	1	0	0
2V9Y	ENST00000361093	306	1	306	1	0	0
2V9T	ENST00000495273	101	0.95	0	0	101	0.95
2V9T	ENST00000436010	101	0.95	0	0	101	0.95
2V9T	ENST00000503837	197	0.95	0	0	197	0.95
2V9S	ENST00000503837	195	0.95	0	0	195	0.95
2V9S	ENST00000503837	195	0.95	0	0	195	0.95
2V9S	ENST00000503837	195	0.95	0	0	195	0.95
2V9S	ENST00000503837	195	0.95	0	0	195	0.95
2V9R	ENST00000495273	189	0.96	0	0	189	0.96
2V9R	ENST00000436010	189	0.96	0	0	189	0.96
2V9Q	ENST00000464233	2	0.01	0	0	2	0.01
2V9Q	ENST00000495273	200	0.96	0	0	200	0.96
2V9Q	ENST00000436010	200	0.96	0	0	200	0.96
1X3S	ENST00000535776	109	0.62	35	0.2	74	0.42
3P2V	ENST00000285930	1	0	0	0	1	0
3P2T	ENST00000391736	2	0.01	0	0	2	0.01
3P2T	ENST00000430952	2	0.01	0	0	2	0.01
3P2T	ENST00000391733	2	0.01	0	0	2	0.01
3P2T	ENST00000270452	2	0.01	0	0	2	0.01
1X3B	ENST00000442011	6	0.04	0	0	6	0.04
1X3C	ENST00000369577	60	0.91	0	0	60	0.91
1X3A	ENST00000380155	6	0.06	0	0	6	0.06
1X3D	ENST00000492622	105	0.95	0	0	105	0.95
1X3D	ENST00000337156	6	0.05	0	0	6	0.05
1X3D	ENST00000398316	102	0.92	0	0	102	0.92
1X3D	ENST00000541916	105	0.95	0	0	105	0.95
1X3H	ENST00000395074	6	0.08	0	0	6	0.08
1X3H	ENST00000528954	70	0.96	0	0	70	0.96
3P23	ENST00000433197	1	0	0	0	1	0
3P23	ENST00000433197	1	0	0	0	1	0
3P23	ENST00000433197	1	0	0	0	1	0
3P23	ENST00000433197	1	0	0	0	1	0
1L9L	ENST00000263863	1	0.01	0	0	1	0.01
1L9L	ENST00000409696	66	0.89	6	0.08	60	0.81
1L9M	ENST00000381458	4	0.01	0	0	4	0.01
1L9M	ENST00000381458	4	0.01	0	0	4	0.01
1L9N	ENST00000381458	4	0.01	0	0	4	0.01
1L9N	ENST00000381458	4	0.01	0	0	4	0.01
2O88	ENST00000372348	56	0.97	0	0	56	0.97
2O88	ENST00000318560	1	0.02	0	0	1	0.02
2O88	ENST00000372348	54	0.96	0	0	54	0.96
2O88	ENST00000318560	1	0.02	0	0	1	0.02
1PZZ	NULL	1	NULL	NULL	NULL	NULL	NULL
1PZU	ENST00000414705	264	0.96	0	0	264	0.96
1PZU	ENST00000414705	264	0.96	0	0	264	0.96
1PZU	ENST00000414705	264	0.96	0	0	264	0.96
1PZU	ENST00000414705	264	0.96	0	0	264	0.96
1PZU	ENST00000414705	264	0.96	0	0	264	0.96
1PZU	ENST00000414705	264	0.96	0	0	264	0.96
1XGD	ENST00000285930	295	0.94	0	0	295	0.94
3SF4	ENST00000379556	42	0.93	0	0	42	0.93
3SF4	ENST00000530161	42	0.93	0	0	42	0.93
3SF4	ENST00000525218	42	0.93	0	0	42	0.93
3SF4	ENST00000424273	42	0.93	0	0	42	0.93
3SF4	ENST00000379556	34	0.92	0	0	34	0.92
3SF4	ENST00000530161	34	0.92	0	0	34	0.92
3SF4	ENST00000525218	34	0.92	0	0	34	0.92
3SF4	ENST00000424273	34	0.92	0	0	34	0.92
3SF4	ENST00000379556	43	0.93	0	0	43	0.93
3SF4	ENST00000530161	43	0.93	0	0	43	0.93
3SF4	ENST00000525218	43	0.93	0	0	43	0.93
3SF4	ENST00000424273	43	0.93	0	0	43	0.93
2Z2W	ENST00000299613	253	0.97	118	0.45	135	0.52
3SFV	ENST00000409892	140	0.8	35	0.2	105	0.6
3SFV	ENST00000398529	110	0.62	47	0.27	63	0.36
3L9P	ENST00000389048	1	0	0	0	1	0
3L9N	ENST00000308677	3	0.01	0	0	3	0.01
2O8Y	ENST00000440781	260	0.97	111	0.41	149	0.55
2O8Y	ENST00000431837	260	0.97	111	0.41	149	0.55
2O8Y	ENST00000440781	257	0.97	112	0.42	145	0.55
2O8Y	ENST00000431837	257	0.97	112	0.42	145	0.55
3L9M	ENST00000308677	3	0.01	0	0	3	0.01
3L9M	ENST00000308677	3	0.01	0	0	3	0.01
1UW0	ENST00000378526	110	0.94	0	0	110	0.94
1UW0	ENST00000262327	110	0.94	0	0	110	0.94
1UW5	ENST00000313486	251	0.96	0	0	251	0.96
1UW5	ENST00000313486	251	0.96	0	0	251	0.96
1UW5	ENST00000313486	251	0.96	0	0	251	0.96
1UW5	ENST00000313486	250	0.96	0	0	250	0.96
1UWJ	ENST00000288602	250	0.95	0	0	250	0.95
1UWJ	ENST00000288602	249	0.95	0	0	249	0.95
1UWH	ENST00000288602	251	0.95	0	0	251	0.95
1UWH	ENST00000288602	251	0.95	0	0	251	0.95
1UWO	ENST00000291700	85	0.93	0	0	85	0.93
1UWO	ENST00000397648	85	0.93	0	0	85	0.93
1UWO	ENST00000291700	85	0.93	0	0	85	0.93
1UWO	ENST00000397648	85	0.93	0	0	85	0.93
3L95	NULL	1	NULL	NULL	NULL	NULL	NULL
2O8J	ENST00000383372	242	0.95	5	0.02	237	0.93
2O8J	ENST00000375530	242	0.95	5	0.02	237	0.93
2O8J	ENST00000450229	242	0.95	5	0.02	237	0.93
2O8J	ENST00000420874	242	0.95	5	0.02	237	0.93
2O8J	ENST00000383372	259	0.96	16	0.06	243	0.9
2O8J	ENST00000375530	259	0.96	16	0.06	243	0.9
2O8J	ENST00000450229	259	0.96	16	0.06	243	0.9
2O8J	ENST00000420874	259	0.96	16	0.06	243	0.9
2O8J	ENST00000383372	250	0.95	12	0.05	238	0.91
2O8J	ENST00000375530	250	0.95	12	0.05	238	0.91
2O8J	ENST00000450229	250	0.95	12	0.05	238	0.91
2O8J	ENST00000420874	250	0.95	12	0.05	238	0.91
2O8J	ENST00000383372	236	0.95	5	0.02	231	0.93
2O8J	ENST00000375530	236	0.95	5	0.02	231	0.93
2O8J	ENST00000450229	236	0.95	5	0.02	231	0.93
2O8J	ENST00000420874	236	0.95	5	0.02	231	0.93
2O8E	ENST00000233146	1	0	0	0	1	0
1SI5	ENST00000222390	1	0	0	0	1	0
1SI5	ENST00000457544	217	0.96	5	0.02	212	0.93
1SI5	ENST00000444829	227	1	227	1	0	0
1SI5	ENST00000453411	227	1	227	1	0	0
1SI5	ENST00000423064	227	1	227	1	0	0
1SI4	ENST00000251595	134	0.95	0	0	134	0.95
1SI4	ENST00000320868	134	0.95	0	0	134	0.95
1SI4	ENST00000380299	136	0.93	0	0	136	0.93
1SI4	ENST00000251595	134	0.95	0	0	134	0.95
1SI4	ENST00000320868	134	0.95	0	0	134	0.95
1SI4	ENST00000380299	136	0.93	0	0	136	0.93
4DK9	ENST00000429544	133	0.95	3	0.02	130	0.93
4DK9	ENST00000503197	39	0.28	37	0.26	2	0.01
2KNE	ENST00000391918	123	0.83	36	0.24	87	0.59
2KNE	ENST00000341360	7	0.25	0	0	7	0.25
2KNE	ENST00000367218	7	0.25	0	0	7	0.25
2KNE	ENST00000367219	25	0.89	0	0	25	0.89
2KNE	ENST00000391954	25	0.89	0	0	25	0.89
1SIR	ENST00000457854	22	0.06	8	0.02	14	0.04
1SIQ	ENST00000457854	22	0.06	8	0.02	14	0.04
1SIF	ENST00000536769	7	0.1	0	0	7	0.1
1SIF	ENST00000339647	7	0.1	0	0	7	0.1
1SIF	ENST00000402285	7	0.1	0	0	7	0.1
1SIF	ENST00000272317	7	0.1	0	0	7	0.1
1SIF	ENST00000404735	7	0.1	0	0	7	0.1
1SIF	ENST00000430157	7	0.1	0	0	7	0.1
1SIF	ENST00000442744	7	0.1	0	0	7	0.1
1SIF	ENST00000302182	7	0.1	0	0	7	0.1
1SIF	ENST00000395839	7	0.1	0	0	7	0.1
1SIF	ENST00000395837	7	0.1	0	0	7	0.1
2B90	ENST00000231449	2	0.02	0	0	2	0.02
2B90	ENST00000350025	104	0.81	16	0.12	88	0.68
2B95	ENST00000357156	90	0.94	1	0.01	89	0.93
2B95	ENST00000300469	93	0.97	49	0.51	44	0.46
2B95	ENST00000357156	90	0.94	1	0.01	89	0.93
2B95	ENST00000300469	93	0.97	49	0.51	44	0.46
1KVJ	ENST00000350425	37	0.47	0	0	37	0.47
1KVI	ENST00000350425	37	0.47	0	0	37	0.47
1XVP	NULL	1	NULL	NULL	NULL	NULL	NULL
1XV9	NULL	1	NULL	NULL	NULL	NULL	NULL
6PAX	ENST00000379132	3	0.02	0	0	3	0.02
6PAX	ENST00000379129	86	0.65	0	0	86	0.65
6PAX	ENST00000379107	86	0.65	0	0	86	0.65
6PAX	ENST00000241001	3	0.02	0	0	3	0.02
6PAX	ENST00000379115	86	0.65	0	0	86	0.65
6PAX	ENST00000379111	3	0.02	0	0	3	0.02
6PAX	ENST00000379123	3	0.02	0	0	3	0.02
6PAX	ENST00000379109	3	0.02	0	0	3	0.02
6PAX	ENST00000419022	86	0.65	0	0	86	0.65
1KV6	ENST00000366940	206	0.93	21	0.09	185	0.83
1KV6	ENST00000360012	206	0.93	21	0.09	185	0.83
1KV6	ENST00000361395	206	0.93	21	0.09	185	0.83
1KV6	ENST00000366938	206	0.93	21	0.09	185	0.83
1KV6	ENST00000359162	206	0.93	21	0.09	185	0.83
1KV6	ENST00000493603	206	0.93	21	0.09	185	0.83
1KV6	ENST00000487276	206	0.93	21	0.09	185	0.83
1KV6	ENST00000493748	206	0.93	21	0.09	185	0.83
1KV6	ENST00000361525	206	0.93	21	0.09	185	0.83
1KV6	ENST00000391890	211	0.95	14	0.06	197	0.89
1KV6	ENST00000366940	206	0.93	21	0.09	185	0.83
1KV6	ENST00000360012	206	0.93	21	0.09	185	0.83
1KV6	ENST00000361395	206	0.93	21	0.09	185	0.83
1KV6	ENST00000366938	206	0.93	21	0.09	185	0.83
1KV6	ENST00000359162	206	0.93	21	0.09	185	0.83
1KV6	ENST00000493603	206	0.93	21	0.09	185	0.83
1KV6	ENST00000487276	206	0.93	21	0.09	185	0.83
1KV6	ENST00000493748	206	0.93	21	0.09	185	0.83
1KV6	ENST00000361525	206	0.93	21	0.09	185	0.83
1KV6	ENST00000391890	211	0.95	14	0.06	197	0.89
1KV2	ENST00000229795	14	0.04	0	0	14	0.04
1KV2	ENST00000310795	98	0.3	45	0.14	53	0.16
1KV3	ENST00000361475	4	0.01	0	0	4	0.01
1KV3	ENST00000361475	4	0.01	0	0	4	0.01
1KV3	ENST00000361475	4	0.01	0	0	4	0.01
1KV3	ENST00000361475	4	0.01	0	0	4	0.01
1KV3	ENST00000361475	4	0.01	0	0	4	0.01
1KV3	ENST00000361475	4	0.01	0	0	4	0.01
1KV1	ENST00000229795	14	0.04	0	0	14	0.04
1KV1	ENST00000310795	98	0.3	45	0.14	53	0.16
2ICJ	ENST00000381344	204	0.93	0	0	204	0.93
2ICK	ENST00000381344	205	0.93	0	0	205	0.93
2ICF	ENST00000245907	1	0	0	0	1	0
2ICE	ENST00000245907	1	0	0	0	1	0
2ICA	ENST00000358164	166	0.93	0	0	166	0.93
3D7F	ENST00000356696	89	0.13	31	0.04	58	0.08
3D7F	ENST00000340334	654	0.95	15	0.02	639	0.92
3D7F	ENST00000533034	657	0.95	46	0.07	611	0.88
3D7F	ENST00000343844	668	0.97	303	0.44	365	0.53
2DAD	ENST00000369066	5	0.06	0	0	5	0.06
2DAG	ENST00000229268	6	0.09	0	0	6	0.09
2DAG	ENST00000389231	60	0.9	0	0	60	0.9
2DAF	ENST00000466202	108	0.97	0	0	108	0.97
2DAF	ENST00000324698	108	0.97	0	0	108	0.97
2DAF	ENST00000484508	108	0.97	0	0	108	0.97
2DAF	ENST00000434450	108	0.97	0	0	108	0.97
2DAI	ENST00000371756	5	0.07	0	0	5	0.07
2DAK	ENST00000229268	6	0.11	0	0	6	0.11
2DAK	ENST00000389231	52	0.93	0	0	52	0.93
2DAJ	ENST00000375458	4	0.05	0	0	4	0.05
2DAJ	ENST00000342193	4	0.05	0	0	4	0.05
2DAJ	ENST00000409184	81	0.96	0	0	81	0.96
2DAJ	ENST00000392717	81	0.96	0	0	81	0.96
2DAM	ENST00000261942	6	0.1	0	0	6	0.1
2DAL	ENST00000296328	46	0.84	0	0	46	0.84
2DAO	ENST00000396373	6	0.05	0	0	6	0.05
2DAQ	ENST00000433384	98	0.95	0	0	98	0.95
2DAQ	ENST00000317025	5	0.05	0	0	5	0.05
2DAQ	ENST00000316985	103	1	103	1	0	0
2DAS	ENST00000382907	55	1	55	1	0	0
2DAS	ENST00000382905	6	0.11	0	0	6	0.11
2DAS	ENST00000337963	6	0.11	0	0	6	0.11
2DAR	ENST00000359265	83	1	83	1	0	0
2DAR	ENST00000317968	80	0.96	0	0	80	0.96
2DAR	ENST00000508216	83	1	83	1	0	0
2DAR	ENST00000437932	79	0.95	0	0	79	0.95
2DAR	ENST00000380180	83	1	83	1	0	0
2DAR	ENST00000318007	83	1	83	1	0	0
2DAT	ENST00000382203	105	0.91	0	0	105	0.91
2DAT	ENST00000382194	110	0.95	0	0	110	0.95
2DAT	ENST00000349721	105	0.91	0	0	105	0.91
2DAT	ENST00000357248	110	0.95	0	0	110	0.95
2DAW	ENST00000369724	5	0.03	0	0	5	0.03
2DAV	ENST00000361685	114	0.96	0	0	114	0.96
2DAV	ENST00000553190	6	0.05	0	0	6	0.05
2DAV	ENST00000361466	114	0.96	0	0	114	0.96
2DAV	ENST00000550270	6	0.05	0	0	6	0.05
2DAV	ENST00000360610	6	0.05	0	0	6	0.05
2DAY	ENST00000295704	120	0.99	0	0	120	0.99
2DAX	ENST00000493196	5	0.03	0	0	5	0.03
2DAZ	ENST00000316485	5	0.04	0	0	5	0.04
2DAZ	ENST00000371158	5	0.04	0	0	5	0.04
2DAZ	ENST00000484937	117	1	117	1	0	0
2DAZ	ENST00000307297	117	1	117	1	0	0
3D7Z	ENST00000229795	14	0.04	0	0	14	0.04
3D7Z	ENST00000310795	98	0.28	45	0.13	53	0.15
2DA1	ENST00000268489	5	0.08	0	0	5	0.08
2DA1	ENST00000397992	61	0.97	0	0	61	0.97
2DA0	ENST00000518721	101	0.94	0	0	101	0.94
2DA0	ENST00000357668	101	0.94	0	0	101	0.94
2DA3	ENST00000268489	6	0.08	0	0	6	0.08
2DA3	ENST00000397992	70	0.96	0	0	70	0.96
2DA2	ENST00000268489	5	0.08	0	0	5	0.08
2DA2	ENST00000397992	60	0.95	0	0	60	0.95
2DA5	ENST00000559234	6	0.09	0	0	6	0.09
2DA5	ENST00000560361	6	0.09	0	0	6	0.09
2DA5	ENST00000373263	6	0.09	0	0	6	0.09
2DA5	ENST00000540170	6	0.09	0	0	6	0.09
2DA7	ENST00000303660	5	0.08	0	0	5	0.08
2DA7	ENST00000409487	5	0.08	0	0	5	0.08
2DA7	ENST00000539609	61	0.95	0	0	61	0.95
2DA7	ENST00000558170	5	0.08	0	0	5	0.08
2DA6	ENST00000225893	5	0.05	0	0	5	0.05
2DA6	ENST00000561193	89	0.94	0	0	89	0.94
2WNG	ENST00000400068	212	0.69	0	0	212	0.69
2WNG	ENST00000356025	212	0.69	0	0	212	0.69
